# Configuration:
#   Braille Code: Nemeth
#   Generate Braille: False
#   Model: gpt-5.2
#   API Key: OPENAI_API_KEY
#   Batch Size: 20
#   Number of Examples: 0
#   Example Braille File: RustTestData/Nemeth.brls
#   Example MathML File: RustTestData/Nemeth.mmls
#   Input Braille Dir: test_data/Nemeth
#   Input MathML Dir: test_data/MathML
#   Instructions: You are an expert braille translator specializing in Nemeth braille for mathematics and chemistry notation. The user will number the input and follow it with {braille_code} braille to be translated into MathML. Your task is to translate each sequence of Nemeth braille characters into valid MathML code. Remember that the MathML starts with a '<math>' tag and ends with a '</math>' tag. For each braille input, output ONLY the raw MathML string starting with <math> and ending with </math>. Every element in the MathML must be properly closed and nested. Do not include markdown formatting, explanations, or any other text. Do not include any newlines or carriage returns. Do not include any braille unicode characters in the MathML output. Add '|next-item|' between each MathML output. 
#
# 200 items. Usage info: prompt=10471, candidates=12065, total=22536, time=368354ms, TPS=30530.791545793618.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✗ | ⠋⠷⠞⠾⠀⠨⠅⠀⠁⠃⠘⠞ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup></mrow></math> | <math><mrow><mi>f</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo><mi>a</mi><mi>b</mi><msup><mi>t</mi><mo></mo></msup></mrow></math>
✗ | ⠠⠉⠷⠂⠆⠾⠀⠨⠅⠀⠹⠢⠬⠂⠆⠌⠂⠴⠴⠬⠂⠴⠷⠂⠆⠾⠼⠀⣍⠀⠿⠀⠨⠅⠀⠹⠂⠶⠌⠆⠆⠴⠼ | <math><mtable><mtr rowalign="center"><mtd columnalign="right"><mrow><mi>C</mi><mo stretchy="false">(</mo><mn>12</mn><mo stretchy="false">)</mo></mrow></mtd><mtd rowalign="center"><mo>=</mo></mtd><mtd columnalign="left" rowalign="center"><mfrac><mrow><mn>5</mn><mo>+</mo><mn>12</mn></mrow><mrow><mn>100</mn><mo>+</mo><mn>10</mn><mo stretchy="false">(</mo><mn>12</mn><mo stretchy="false">)</mo></mrow></mfrac></mtd></mtr><mtr rowalign="center"><mtd rowalign="center"/><mtd rowalign="center"><mo>=</mo></mtd><mtd columnalign="left" rowalign="center"><mfrac><mn>17</mn><mn>220</mn></mfrac></mtd></mtr></mtable></math> | <math><mrow><mrow><mi>C</mi><mo>(</mo><mn>26</mn><mo>)</mo></mrow><mo>=</mo><mrow><mo>(</mo><mfrac><mrow><mn>1</mn><mo>&#x2212;</mo><mn>26</mn></mrow><mrow><mn>100</mn><mo>&#x2212;</mo><mn>100</mn></mrow></mfrac><mo>)</mo></mrow><mo>,</mo><mtext>or</mtext><mo>=</mo><mrow><mo>(</mo><mfrac><mrow><mn>10</mn></mrow><mrow><mn>660</mn></mrow></mfrac><mo>)</mo></mrow></mrow></math>
✗ | ⠹⠂⠶⠌⠆⠆⠴⠼⠀⠈⠱⠈⠱⠀⠼⠴⠨⠴⠦⠀⠨⠂⠀⠹⠂⠌⠆⠴⠼⠀⠨⠅⠀⠼⠴⠨⠴⠢⠠ | <math><mrow><mfrac><mn>17</mn><mn>220</mn></mfrac><mo>≈</mo><mn>0.08</mn><mo>&gt;</mo><mfrac><mn>1</mn><mn>20</mn></mfrac><mo>=</mo><mn>0.05</mn><mo>,</mo></mrow></math> | <math><mrow><mrow><mfrac><mrow><mn>10</mn></mrow><mrow><mn>660</mn></mrow></mfrac></mrow><mo>&#x2248;</mo><mn>4.44</mn><mo>,</mo><mrow><mfrac><mrow><mn>12</mn></mrow><mrow><mn>40</mn></mrow></mfrac></mrow><mo>=</mo><mn>4.42</mn></mrow></math>
✗ | ⠭⠘⠆⠐⠤⠔⠀⠨⠅⠀⠼⠴⠀⣍⠭⠘⠆⠀⠨⠅⠀⠼⠔⠀⣍⠭⠀⠨⠅⠀⠬⠤⠒ | <math><mtable><mtr><mtd columnalign="right"><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>−</mo><mn>9</mn></mrow></mtd><mtd><mo>=</mo></mtd><mtd columnalign="left"><mn>0</mn></mtd></mtr><mtr><mtd columnalign="right"><msup><mi>x</mi><mn>2</mn></msup></mtd><mtd><mo>=</mo></mtd><mtd columnalign="left"><mn>9</mn></mtd></mtr><mtr><mtd columnalign="right"><mi>x</mi></mtd><mtd><mo>=</mo></mtd><mtd columnalign="left"><mn>±3</mn></mtd></mtr></mtable></math> | <math><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>&#x2212;</mo><mn>1</mn><mo>=</mo><mn>4</mn><mo>,</mo><msup><mi>x</mi><mn>2</mn></msup><mo>=</mo><mn>5</mn><mo>,</mo><mi>x</mi><mo>=</mo><mrow><mo>&#x2212;</mo><mn>3</mn></mrow></mrow></math>
✗ | ⠭⠀⠨⠅⠀⠼⠒ | <math><mrow><mi>x</mi><mo>=</mo><mn>3</mn></mrow></math> | <math><mrow><mi>x</mi><mo>=</mo><mn>2</mn></mrow></math>
✗ | ⠋⠷⠭⠾⠀⠨⠅⠀⠹⠲⠭⠌⠢⠷⠭⠤⠂⠾⠷⠭⠤⠢⠾⠼⠸⠲ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mn>4</mn><mi>x</mi></mrow><mrow><mn>5</mn><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mn>1</mn><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mn>5</mn><mo stretchy="false">)</mo></mrow></mfrac><mo>.</mo></mrow></math> | <math><mrow><mrow><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>=</mo><mrow><mo>(</mo><mfrac><mrow><mi>x</mi></mrow><mrow><mi>x</mi><mo>&#x2212;</mo><mn>2</mn></mrow></mfrac><mo>)</mo><mo>(</mo><mi>x</mi><mo>&#x2212;</mo><mn>2</mn><mo>)</mo></mrow><mo>.</mo></mrow></math>
✗ | ⠅⠷⠭⠾⠀⠨⠅⠀⠹⠢⠬⠆⠭⠘⠆⠐⠌⠆⠤⠭⠤⠭⠘⠆⠐⠼⠀⣍⠀⠿⠀⠨⠅⠀⠹⠢⠬⠆⠭⠘⠆⠐⠌⠷⠆⠬⠭⠾⠷⠂⠤⠭⠾⠼ | <math><mtable><mtr rowalign="center"><mtd rowalign="center" columnalign="right"><mrow><mi>k</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></mtd><mtd rowalign="center"><mo>=</mo></mtd><mtd rowalign="center" columnalign="left"><mfrac><mrow><mn>5</mn><mo>+</mo><mn>2</mn><msup><mi>x</mi><mn>2</mn></msup></mrow><mrow><mn>2</mn><mo>−</mo><mi>x</mi><mo>−</mo><msup><mi>x</mi><mn>2</mn></msup></mrow></mfrac></mtd></mtr><mtr rowalign="center"><mtd rowalign="center"/><mtd rowalign="center"><mo>=</mo></mtd><mtd rowalign="center" columnalign="left"><mfrac><mrow><mn>5</mn><mo>+</mo><mn>2</mn><msup><mi>x</mi><mn>2</mn></msup></mrow><mrow><mo stretchy="false">(</mo><mn>2</mn><mo>+</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mn>1</mn><mo>−</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></mfrac></mtd></mtr></mtable></math> | <math><mrow><mrow><mi>k</mi><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>=</mo><mrow><mo>(</mo><mfrac><mrow><mn>1</mn><mo>&#x2212;</mo><msup><mi>x</mi><mn>2</mn></msup></mrow><mrow><mo>&#x2212;</mo><mi>x</mi><mo>&#x2212;</mo><msup><mi>x</mi><mn>2</mn></msup></mrow></mfrac><mo>)</mo></mrow><mo>,</mo><mtext>or</mtext><mo>=</mo><mrow><mo>(</mo><mfrac><mrow><mn>1</mn><mo>&#x2212;</mo><msup><mi>x</mi><mn>2</mn></msup></mrow><mrow><mo>(</mo><mn>2</mn><mo>&#x2212;</mo><mi>x</mi><mo>)</mo></mrow></mfrac><mo>)</mo></mrow></mrow></math>
✗ | ⠭⠀⠨⠅⠀⠤⠤⠆ | <math><mrow><mi>x</mi><mo>=</mo><mn>–2</mn></mrow></math> | <math><mrow><mi>x</mi><mo>=</mo><mrow><mo>&#x2212;</mo><mo>&#x2212;</mo><mn>6</mn></mrow></mrow></math>
✗ | ⠋⠷⠭⠾⠀⠨⠅⠀⠹⠭⠘⠆⠐⠤⠂⠌⠭⠘⠆⠐⠤⠆⠭⠤⠒⠼ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>−</mo><mn>1</mn></mrow><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>−</mo><mn>2</mn><mi>x</mi><mo>−</mo><mn>3</mn></mrow></mfrac></mrow></math> | <math><mrow><mi>f</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mspace width="0.5em"/><mo>=</mo><mspace width="0.5em"/><mrow><mo>(</mo><mfrac><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>-</mo><mn>1</mn></mrow><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>-</mo><mn>2</mn><mi>x</mi><mo>-</mo><mn>3</mn></mrow></mfrac><mo>)</mo></mrow></mrow></math>
✗ | ⠭⠬⠂ | <math><mrow><mi>x</mi><mo>+</mo><mn>1</mn></mrow></math> | <math><mrow><mi>x</mi><mo>&#x2265;</mo><mn>1</mn></mrow></math>
✗ | ⠭⠤⠤⠒ | <math><mrow><mi>x</mi><mo>–</mo><mn>3</mn></mrow></math> | <math><mrow><mi>x</mi><mo>&#x2212;</mo><mo>&#x2212;</mo><mn>3</mn></mrow></math>
✗ | ⠅⠷⠭⠾⠀⠨⠅⠀⠹⠭⠤⠆⠌⠭⠘⠆⠐⠤⠲⠼⠸⠲ | <math><mrow><mi>k</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mi>x</mi><mo>−</mo><mn>2</mn></mrow><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>−</mo><mn>4</mn></mrow></mfrac><mo>.</mo></mrow></math> | <math><mrow><mi>k</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mspace width="0.5em"/><mo>=</mo><mspace width="0.5em"/><mrow><mo>(</mo><mfrac><mrow><mi>x</mi><mo>-</mo><mn>2</mn></mrow><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>-</mo><mn>4</mn></mrow></mfrac><mo>)</mo></mrow></mrow></math>
✗ | ⠭⠤⠤⠆⠨ | <math><mrow><mi>x</mi><mo>–</mo><mn>2.</mn></mrow></math> | <math><mrow><mi>x</mi><mo>&#x2212;</mo><mo>&#x2212;</mo><mn>2</mn><mo>=</mo></mrow></math>
✓ | ⠭⠀⠨⠅⠀⠼⠆ | <math><mrow><mi>x</mi><mo>=</mo><mn>2</mn></mrow></math> | <math><mrow><mi>x</mi><mspace width="0.5em"/><mo>=</mo><mspace width="0.5em"/><mn>2</mn></mrow></math>
✗ | ⠠⠑⠭⠁⠍⠏⠇⠑⠒⠀⠋⠷⠭⠾⠀⠨⠅⠀⠹⠲⠭⠬⠆⠌⠭⠘⠆⠐⠬⠲⠭⠤⠢⠼ | <math><mrow><mtext>Example: </mtext><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mn>4</mn><mi>x</mi><mo>+</mo><mn>2</mn></mrow><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>4</mn><mi>x</mi><mo>−</mo><mn>5</mn></mrow></mfrac></mrow></math> | <math><mrow><mtext>Example:</mtext><mspace width="0.5em"/><mi>f</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mspace width="0.5em"/><mo>=</mo><mspace width="0.5em"/><mrow><mo>(</mo><mn>3</mn><mi>x</mi><mo>&#x2265;</mo><mn>2</mn><mo>/</mo><msup><mi>x</mi><mn>2</mn></msup><mo>&#x2265;</mo><mn>4</mn><mo>.</mo><mi>x</mi><mo>&#x2212;</mo><mn>7</mn><mo>)</mo></mrow></mrow></math>
✗ | ⠛⠷⠭⠾⠀⠨⠅⠀⠹⠲⠌⠭⠼⠠ | <math><mrow><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mn>4</mn><mi>x</mi></mfrac><mo>,</mo></mrow></math> | <math><mrow><mi>g</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mspace width="0.5em"/><mo>=</mo><mspace width="0.5em"/><mrow><mo>(</mo><mn>3</mn><mo>/</mo><mi>x</mi><mn>1</mn><mo>)</mo></mrow></mrow></math>
✗ | ⠋⠷⠭⠾⠀⠨⠅⠀⠹⠏⠷⠭⠾⠌⠟⠷⠭⠾⠼⠠⠀⠟⠷⠭⠾⠀⠌⠨⠅⠀⠼⠴⠺⠓⠑⠗⠑⠀⠙⠑⠛⠗⠑⠑⠀⠕⠋⠏⠀⠐⠅⠀⠙⠑⠛⠗⠑⠑⠀⠕⠋⠀⠰⠟⠸⠲ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mi>p</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow><mrow><mi>q</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></mfrac><mo>,</mo><mspace width="0.5em"></mspace><mi>q</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>≠</mo><mn>0</mn><mspace width="0.5em"></mspace><mtext>where degree of</mtext><mspace width="0.5em"></mspace><mi>p</mi><mo>&lt;</mo><mtext>degree of </mtext><mi>q</mi><mo>.</mo></mrow></math> | <math><mrow><mi>f</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mspace width="0.5em"/><mo>=</mo><mspace width="0.5em"/><mrow><mo>(</mo><mfrac><mrow><mi>p</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow></mrow><mrow><mi>q</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow></mrow></mfrac><mo>)</mo></mrow><mspace width="0.5em"/><mi>q</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mspace width="0.5em"/><mo>&#x2260;</mo><mspace width="0.5em"/><mn>0</mn><mtext>where degree of</mtext><mi>p</mi><mspace width="0.5em"/><mi>k</mi><mspace width="0.5em"/><mtext>degree of</mtext><mi>q</mi><mo>.</mo></mrow></math>
✗ | ⠋⠷⠭⠾⠀⠈⠱⠈⠱⠀⠹⠒⠭⠘⠆⠐⠌⠭⠼⠀⠨⠅⠀⠼⠒⠭⠸⠲ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>≈</mo><mfrac><mrow><mn>3</mn><msup><mi>x</mi><mn>2</mn></msup></mrow><mi>x</mi></mfrac><mo>=</mo><mn>3</mn><mi>x</mi><mo>.</mo></mrow></math> | <math><mrow><mi>f</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mspace width="0.5em"/><mrow><mo>&lt;</mo><mo>&lt;</mo></mrow><mspace width="0.5em"/><mrow><mo>(</mo><mfrac><mrow><msup><mi>x</mi><mn>2</mn></msup></mrow><mrow><mi>x</mi></mrow></mfrac><mo>)</mo></mrow><mspace width="0.5em"/><mo>=</mo><mspace width="0.5em"/><mrow><mn>3</mn><mi>x</mi><mo>.</mo></mrow></mrow></math>
✓ | ⠛⠷⠭⠾⠀⠨⠅⠀⠼⠒⠭ | <math><mrow><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>3</mn><mi>x</mi></mrow></math> | <math><mrow><mi>g</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mspace width="0.5em"/><mo>=</mo><mspace width="0.5em"/><mrow><mn>3</mn><mi>x</mi></mrow></mrow></math>
✗ | ⠽⠀⠨⠅⠀⠼⠒⠭⠸⠲ | <math><mrow><mi>y</mi><mo>=</mo><mn>3</mn><mi>x</mi><mo>.</mo></mrow></math> | <math><mrow><mi>y</mi><mspace width="0.5em"/><mo>=</mo><mspace width="0.5em"/><mrow><mn>3</mn><mi>x</mi><mo>.</mo></mrow></mrow></math>
✗ | ⠼⠒⠭⠬⠂⠠ | <math><mrow><mn>3</mn><mi>x</mi><mo>+</mo><mn>1</mn><mo>,</mo></mrow></math> | <math><mrow><mn>3</mn><mi>x</mi><mo>&#x2265;</mo><mn>1</mn></mrow></math>
✗ | ⠋⠷⠭⠾⠀⠨⠅⠀⠹⠏⠷⠭⠾⠌⠟⠷⠭⠾⠼⠠⠀⠟⠷⠭⠾⠀⠌⠨⠅⠀⠼⠴ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mi>p</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow><mrow><mi>q</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></mfrac><mo>,</mo><mspace width="0.5em"></mspace><mi>q</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>≠</mo><mn>0</mn></mrow></math> | <math><mrow><mi>f</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mspace width="0.5em"/><mo>=</mo><mspace width="0.5em"/><mrow><mo>(</mo><mfrac><mrow><mi>p</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow></mrow><mrow><mi>q</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow></mrow></mfrac><mo>)</mo></mrow><mspace width="0.5em"/><mi>q</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mspace width="0.5em"/><mo>&#x2260;</mo><mspace width="0.5em"/><mn>0</mn></mrow></math>
✗ | ⠽⠀⠨⠅⠀⠹⠁⠰⠝⠐⠌⠃⠰⠝⠐⠼⠠ | <math><mrow><mi>y</mi><mo>=</mo><mfrac><msub><mi>a</mi><mi>n</mi></msub><msub><mi>b</mi><mi>n</mi></msub></mfrac><mo>,</mo></mrow></math> | <math><mrow><mi>y</mi><mspace width="0.5em"/><mo>=</mo><mspace width="0.5em"/><mrow><mi>a</mi><msup><mi>n</mi><mn>1</mn></msup><mo>/</mo><mi>b</mi><msup><mi>n</mi><mn>3</mn></msup></mrow></mrow></math>
✗ | ⠃⠰⠝ | <math><msub><mi>b</mi><mi>n</mi></msub></math> | <math><mrow><mi>b</mi><msup><mi>n</mi></msup></mrow></math>
✓ | ⠟⠷⠭⠾ | <math><mrow><mi>q</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow></mrow></math> | <math><mrow><mi>q</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow></mrow></math>
✗ | ⠠⠑⠭⠁⠍⠏⠇⠑⠒⠀⠋⠷⠭⠾⠀⠨⠅⠀⠹⠒⠭⠘⠆⠐⠬⠆⠌⠭⠘⠆⠐⠬⠲⠭⠤⠢⠼ | <math><mrow><mtext>Example: </mtext><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mn>3</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>2</mn></mrow><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>4</mn><mi>x</mi><mo>−</mo><mn>5</mn></mrow></mfrac></mrow></math> | <math><mrow><mtext>Example:</mtext><mspace width="0.5em"/><mi>f</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mspace width="0.5em"/><mo>=</mo><mspace width="0.5em"/><mrow><mo>(</mo><mn>3</mn><msup><mi>x</mi><mn>2</mn></msup><mo>&#x2265;</mo><mn>2</mn><mo>/</mo><msup><mi>x</mi><mn>2</mn></msup><mo>&#x2265;</mo><mn>4</mn><mo>.</mo><mi>x</mi><mo>&#x2212;</mo><mn>7</mn><mo>)</mo></mrow></mrow></math>
✗ | ⠛⠷⠭⠾⠀⠨⠅⠀⠼⠒⠠ | <math><mrow><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>3</mn><mo>,</mo></mrow></math> | <math><mrow><mi>g</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mspace width="0.5em"/><mo>=</mo><mspace width="0.5em"/><mrow><mn>3</mn></mrow></mrow></math>
✗ | ⠋⠷⠭⠾⠀⠨⠅⠀⠹⠏⠷⠭⠾⠌⠟⠷⠭⠾⠼⠠⠀⠟⠷⠭⠾⠀⠌⠨⠅⠀⠼⠴⠺⠓⠑⠗⠑⠀⠙⠑⠛⠗⠑⠑⠀⠕⠋⠀⠏⠀⠨⠅⠀⠙⠑⠛⠗⠑⠑⠀⠕⠋⠀⠰⠟⠸⠲ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mi>p</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow><mrow><mi>q</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo></mrow></mfrac><mo>,</mo><mspace width="0.5em"></mspace><mi>q</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>≠</mo><mn>0</mn><mspace width="0.5em"></mspace><mtext>where degree of </mtext><mi>p</mi><mo>=</mo><mtext>degree of </mtext><mi>q</mi><mo>.</mo></mrow></math> | <math><mrow><mi>f</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mspace width="0.5em"/><mo>=</mo><mspace width="0.5em"/><mrow><mo>(</mo><mfrac><mrow><mi>p</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow></mrow><mrow><mi>q</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow></mrow></mfrac><mo>)</mo></mrow><mspace width="0.5em"/><mi>q</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mspace width="0.5em"/><mo>&#x2260;</mo><mspace width="0.5em"/><mn>0</mn><mtext>where degree of</mtext><mi>p</mi><mspace width="0.5em"/><mi>k</mi><mspace width="0.5em"/><mtext>degree of</mtext><mi>q</mi><mo>.</mo></mrow></math>

#===========

# Normalized MathML
Match | Test Input | Expected | Computed
✗ | ⠋⠷⠞⠾⠀⠨⠅⠀⠁⠃⠘⠞ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>a</mi> <mo>⁢</mo> <msup> <mi>b</mi> <mi>t</mi> </msup> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>a</mi> <mo>⁢</mo> <mi>b</mi> <mo>⁢</mo> <msup> <mi>t</mi> <mi> </mi> </msup> </mrow> </mrow> </math>
✗ | ⠛⠷⠞⠾⠀⠨⠅⠀⠁⠃⠘⠞⠐⠬⠉ | <math> <mrow> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mi>a</mi> <mo>⁢</mo> <msup> <mi>b</mi> <mi>t</mi> </msup> </mrow> <mo>+</mo> <mi>c</mi> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>a</mi> <mo>⁢</mo> <mi>b</mi> <mo>⁢</mo> <msup> <mi>t</mi> <mrow> <mo>+</mo> <mi>c</mi> </mrow> </msup> </mrow> </mrow> </math>
✗ | ⠼⠂⠴ | <math> <mn>10</mn> </math> | <math> <mn>24</mn> </math>
✗ | ⠼⠆⠬⠒⠀⠨⠅⠀⠼⠢⠸⠒ | <math> <mrow> <mrow> <mrow> <mn>2</mn> <mo>+</mo> <mn>3</mn> </mrow> <mo>=</mo> <mn>5</mn> </mrow> <mo>:</mo> </mrow> </math> | <math> <mrow> <mn>62</mn> <mo>=</mo> <mn>23</mn> </mrow> </math>
✗ | ⠼⠆ | <math> <mn>2</mn> </math> | <math> <mn>6</mn> </math>
✗ | ⠼⠆⠡⠒⠀⠨⠅⠀⠼⠖⠸⠲ | <math> <mrow> <mrow> <mrow> <mn>2</mn> <mo>⋅</mo> <mn>3</mn> </mrow> <mo>=</mo> <mn>6</mn> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mn>63</mn> <mo>=</mo> <mn>56</mn> </mrow> </math>
✗ | ⠰⠋⠸⠒⠀⠠⠃⠀⠫⠕⠀⠠⠉⠠ | <math> <mrow> <mrow> <mi>f</mi> <mo>:</mo> <mrow> <mi>B</mi> <mo>→</mo> <mi>C</mi> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <msup> <mi>f</mi> <mn>3</mn> </msup> <mo>×</mo> <mrow> <mn>2</mn> <mo>÷</mo> <mn>3</mn> </mrow> </mrow> </math>
✗ | ⠷⠋⠨⠡⠛⠾⠷⠭⠾⠀⠨⠅⠀⠋⠷⠛⠷⠭⠾⠾⠸⠲ | <math> <mrow> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>∘</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>)</mo> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>+</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>)</mo> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠰⠛ | <math> <mi>g</mi> </math> | <math> <mi>g</mi> </math>
✓ | ⠰⠋ | <math> <mi>f</mi> </math> | <math> <mi>f</mi> </math>
✓ | ⠰⠟ | <math> <mi>q</mi> </math> | <math> <mi>q</mi> </math>
✗ | ⠰⠟⠠ | <math> <mrow> <mi>q</mi> <mo>,</mo> </mrow> </math> | <math> <mover> <mi>q</mi> <mo>¯</mo> </mover> </math>
✗ | ⠰⠏⠸⠲ | <math> <mrow> <mi>p</mi> <mo>.</mo> </mrow> </math> | <math> <mrow> <msub> <mi>p</mi> <mn>0</mn> </msub> <mo>.</mo> </mrow> </math>
