# Configuration:
#   Braille Code: nemeth
#   Generate Braille: False
#   Model: gemini-3-pro-preview 
#   API Key: GEMINI_PAID_API_KEY
#   Batch Size: 40
#   Number of Examples: 2472
#   Example Braille File: RustTestData/Nemeth.brls
#   Example MathML File: RustTestData/Nemeth.mmls
#   Input Braille Dir: test_data/Nemeth.brls
#   Input MathML Dir: test_data/mathml.mmls
#
# 120 items. Usage info: prompt=872080, candidates=7531, total=893642, time=41733ms, TPS=5541.495153366087.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✓ | ⠹⠂⠌⠭⠤⠆⠼⠨⠌⠹⠆⠌⠭⠼ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>1</mn><mrow><mi>x</mi><mo>−</mo><mn>2</mn></mrow></mfrac></mstyle><mo>÷</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>2</mn><mi>x</mi></mfrac></mstyle></math> | <math><mrow><mfrac><mn>1</mn><mrow><mi>x</mi><mo>−</mo><mn>2</mn></mrow></mfrac><mo>÷</mo><mfrac><mn>2</mn><mi>x</mi></mfrac></mrow></math>
✓ | ⠋⠷⠭⠾⠀⠨⠅⠀⠼⠆⠭⠬⠲ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>+</mo> <mn>4</mn> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>+</mo> <mn>4</mn> </mrow> </mrow> </math>
✓ | ⠁⠆ | <math> <msub> <mi>a</mi> <mn>2</mn> </msub> </math> | <math> <msub> <mi>a</mi> <mn>2</mn> </msub> </math>
✓ | ⠉⠕⠎⠀⠷⠨⠁⠾⠬⠉⠕⠎⠀⠷⠨⠃⠾ | <math> <mrow> <mrow> <mi>cos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>α</mi> <mo>)</mo> </mrow> </mrow> <mo>+</mo> <mrow> <mi>cos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>β</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>cos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>α</mi> <mo>)</mo> </mrow> </mrow> <mo>+</mo> <mrow> <mi>cos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>β</mi> <mo>)</mo> </mrow> </mrow> </mrow> </math>
✓ | ⠤⠼⠒ | <math> <mrow> <mo>-</mo> <mn>3</mn> </mrow> </math> | <math> <mrow> <mo>-</mo> <mn>3</mn> </mrow> </math>
✓ | ⠼⠒⠖⠸⠌⠆⠂⠖⠀⠨⠅⠀⠼⠴⠨⠂⠖⠶ | <math> <mrow> <mrow> <mn>36</mn> <mo>/</mo> <mn>216</mn> </mrow> <mo>=</mo> <mn>0.167</mn> </mrow> </math> | <math> <mrow> <mrow> <mn>36</mn> <mo>/</mo> <mn>216</mn> </mrow> <mo>=</mo> <mn>0.167</mn> </mrow> </math>
✓ | ⠁⠰⠝⠀⠨⠅⠀⠁⠂⠬⠷⠝⠤⠂⠾⠙⠸⠲ | <math> <mrow> <mrow> <msub> <mi>a</mi> <mi>n</mi> </msub> <mo>=</mo> <mrow> <msub> <mi>a</mi> <mn>1</mn> </msub> <mo>+</mo> <mrow> <mrow> <mo>(</mo> <mrow> <mi>n</mi> <mo>-</mo> <mn>1</mn> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mi>d</mi> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <msub> <mi>a</mi> <mi>n</mi> </msub> <mo>=</mo> <mrow> <msub> <mi>a</mi> <mn>1</mn> </msub> <mo>+</mo> <mrow> <mrow> <mo>(</mo> <mrow> <mi>n</mi> <mo>-</mo> <mn>1</mn> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mi>d</mi> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠁⠰⠝ | <math> <msub> <mi>a</mi> <mi>n</mi> </msub> </math> | <math> <msub> <mi>a</mi> <mi>n</mi> </msub> </math>
✓ | ⠭⠤⠂⠀⠨⠅⠀⠼⠦⠠ | <math> <mrow> <mrow> <mrow> <mi>x</mi> <mo>-</mo> <mn>1</mn> </mrow> <mo>=</mo> <mn>8</mn> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>x</mi> <mo>-</mo> <mn>1</mn> </mrow> <mo>=</mo> <mn>8</mn> </mrow> <mo>,</mo> </mrow> </math>
✓ | ⠼⠒⠘⠲ | <math> <msup> <mn>3</mn> <mn>4</mn> </msup> </math> | <math> <msup> <mn>3</mn> <mn>4</mn> </msup> </math>
✓ | ⠼⠒⠨ | <math> <mn>3.</mn> </math> | <math> <mn>3.</mn> </math>
✓ | ⠜⠂⠒⠻ | <math> <msqrt> <mn>13</mn> </msqrt> </math> | <math> <msqrt> <mn>13</mn> </msqrt> </math>
✓ | ⠽⠀⠨⠅⠀⠼⠒⠭⠤⠲ | <math> <mrow> <mi>y</mi> <mo>=</mo> <mrow> <mrow> <mn>3</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>-</mo> <mn>4</mn> </mrow> </mrow> </math> | <math> <mrow> <mi>y</mi> <mo>=</mo> <mrow> <mrow> <mn>3</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>-</mo> <mn>4</mn> </mrow> </mrow> </math>
✓ | ⠽⠆⠀⠨⠅⠀⠷⠭⠤⠆⠾⠑⠘⠤⠷⠭⠤⠆⠾ | <math> <mrow> <msub> <mi>y</mi> <mn>2</mn> </msub> <mo>=</mo> <mrow> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>-</mo> <mn>2</mn> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <msup> <mi>e</mi> <mrow> <mo>-</mo> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>-</mo> <mn>2</mn> </mrow> <mo>)</mo> </mrow> </mrow> </msup> </mrow> </mrow> </math> | <math> <mrow> <msub> <mi>y</mi> <mn>2</mn> </msub> <mo>=</mo> <mrow> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>-</mo> <mn>2</mn> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <msup> <mi>e</mi> <mrow> <mo>-</mo> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>-</mo> <mn>2</mn> </mrow> <mo>)</mo> </mrow> </mrow> </msup> </mrow> </mrow> </math>
✗ | ⠼⠖⠢⠈⠴ | <math> <mi>65%</mi> </math> | <math> <mrow> <mn>65</mn> <mo>%</mo> </mrow> </math>
✓ | ⠓⠷⠭⠾⠀⠨⠅⠀⠹⠆⠌⠭⠼ | <math> <mrow> <mrow> <mi>h</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mn>2</mn> <mi>x</mi> </mfrac> </mrow> </math> | <math> <mrow> <mrow> <mi>h</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mn>2</mn> <mi>x</mi> </mfrac> </mrow> </math>
✓ | ⠰⠠⠏⠠ | <math> <mrow> <mi>P</mi> <mo>,</mo> </mrow> </math> | <math> <mrow> <mi>P</mi> <mo>,</mo> </mrow> </math>
✓ | ⠼⠂⠠ | <math> <mrow> <mn>1</mn> <mo>,</mo> </mrow> </math> | <math> <mrow> <mn>1</mn> <mo>,</mo> </mrow> </math>
✓ | ⠋⠬⠛ | <math> <mrow> <mi>f</mi> <mo>+</mo> <mi>g</mi> </mrow> </math> | <math> <mrow> <mi>f</mi> <mo>+</mo> <mi>g</mi> </mrow> </math>
✓ | ⠷⠲⠁⠬⠢⠃⠾⠷⠲⠁⠤⠢⠃⠾ | <math> <mrow> <mrow> <mo>(</mo> <mrow> <mrow> <mn>4</mn> <mo>⁢</mo> <mi>a</mi> </mrow> <mo>+</mo> <mrow> <mn>5</mn> <mo>⁢</mo> <mi>b</mi> </mrow> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mrow> <mn>4</mn> <mo>⁢</mo> <mi>a</mi> </mrow> <mo>-</mo> <mrow> <mn>5</mn> <mo>⁢</mo> <mi>b</mi> </mrow> </mrow> <mo>)</mo> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mo>(</mo> <mrow> <mrow> <mn>4</mn> <mo>⁢</mo> <mi>a</mi> </mrow> <mo>+</mo> <mrow> <mn>5</mn> <mo>⁢</mo> <mi>b</mi> </mrow> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mrow> <mn>4</mn> <mo>⁢</mo> <mi>a</mi> </mrow> <mo>-</mo> <mrow> <mn>5</mn> <mo>⁢</mo> <mi>b</mi> </mrow> </mrow> <mo>)</mo> </mrow> </mrow> </math>
✓ | ⠼⠴⠀⠐⠅⠀⠁⠀⠐⠅⠀⠼⠂⠠ | <math> <mrow> <mrow> <mn>0</mn> <mo>&lt;</mo> <mi>a</mi> <mo>&lt;</mo> <mn>1</mn> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mn>0</mn> <mo>&lt;</mo> <mi>a</mi> <mo>&lt;</mo> <mn>1</mn> </mrow> <mo>,</mo> </mrow> </math>
✓ | ⠋⠷⠭⠾⠀⠨⠅⠀⠃⠬⠍⠭ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>b</mi> <mo>+</mo> <mrow> <mi>m</mi> <mo>⁢</mo> <mi>x</mi> </mrow> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>b</mi> <mo>+</mo> <mrow> <mi>m</mi> <mo>⁢</mo> <mi>x</mi> </mrow> </mrow> </mrow> </math>
✓ | ⠿⠹⠭⠤⠂⠌⠲⠼⠬⠹⠒⠭⠌⠢⠼ | <math> <mrow> <mfrac> <mrow> <mi>x</mi> <mo>-</mo> <mn>1</mn> </mrow> <mn>4</mn> </mfrac> <mo>+</mo> <mfrac> <mrow> <mn>3</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mn>5</mn> </mfrac> </mrow> </math> | <math> <mrow> <mfrac> <mrow> <mi>x</mi> <mo>-</mo> <mn>1</mn> </mrow> <mn>4</mn> </mfrac> <mo>+</mo> <mfrac> <mrow> <mn>3</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mn>5</mn> </mfrac> </mrow> </math>
✓ | ⠰⠝ | <math> <mi>n</mi> </math> | <math> <mi>n</mi> </math>
✓ | ⠁⠀⠨⠅⠀⠼⠖ | <math> <mrow> <mi>a</mi> <mo>=</mo> <mn>6</mn> </mrow> </math> | <math> <mrow> <mi>a</mi> <mo>=</mo> <mn>6</mn> </mrow> </math>
✓ | ⠼⠦⠀⠨⠂⠀⠳⠭⠘⠒⠐⠬⠒⠭⠘⠆⠐⠬⠒⠭⠬⠂⠳ | <math> <mrow> <mn>8</mn> <mo>&gt;</mo> <mrow> <mo>|</mo> <mrow> <msup> <mi>x</mi> <mn>3</mn> </msup> <mo>+</mo> <mrow> <mn>3</mn> <mo>⁢</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> <mo>+</mo> <mrow> <mn>3</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>+</mo> <mn>1</mn> </mrow> <mo>|</mo> </mrow> </mrow> </math> | <math> <mrow> <mn>8</mn> <mo>&gt;</mo> <mrow> <mo>|</mo> <mrow> <msup> <mi>x</mi> <mn>3</mn> </msup> <mo>+</mo> <mrow> <mn>3</mn> <mo>⁢</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> <mo>+</mo> <mrow> <mn>3</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>+</mo> <mn>1</mn> </mrow> <mo>|</mo> </mrow> </mrow> </math>
✓ | ⠊⠀⠨⠅⠀⠷⠹⠅⠌⠂⠴⠴⠼⠾⠷⠝⠬⠂⠾ | <math> <mrow> <mi>i</mi> <mo>=</mo> <mrow> <mrow> <mo>(</mo> <mfrac> <mi>k</mi> <mn>100</mn> </mfrac> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>n</mi> <mo>+</mo> <mn>1</mn> </mrow> <mo>)</mo> </mrow> </mrow> </mrow> </math> | <math> <mrow> <mi>i</mi> <mo>=</mo> <mrow> <mrow> <mo>(</mo> <mfrac> <mi>k</mi> <mn>100</mn> </mfrac> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>n</mi> <mo>+</mo> <mn>1</mn> </mrow> <mo>)</mo> </mrow> </mrow> </mrow> </math>
✓ | ⠹⠒⠌⠂⠔⠼⠠ | <math> <mrow> <mfrac> <mn>3</mn> <mn>19</mn> </mfrac> <mo>,</mo> </mrow> </math> | <math> <mrow> <mfrac> <mn>3</mn> <mn>19</mn> </mfrac> <mo>,</mo> </mrow> </math>
✓ | ⠠⠉⠀⠨⠅⠀⠼⠆⠨⠏⠗ | <math> <mrow> <mi>C</mi> <mo>=</mo> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>π</mi> <mo>⁢</mo> <mi>r</mi> </mrow> </mrow> </math> | <math> <mrow> <mi>C</mi> <mo>=</mo> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>π</mi> <mo>⁢</mo> <mi>r</mi> </mrow> </mrow> </math>
✓ | ⠹⠖⠌⠆⠴⠼ | <math> <mfrac> <mn>6</mn> <mn>20</mn> </mfrac> </math> | <math> <mfrac> <mn>6</mn> <mn>20</mn> </mfrac> </math>
✓ | ⠼⠆⠘⠭⠤⠂⠀⠨⠅⠀⠼⠆⠘⠆⠭⠤⠲⠀⠠⠞⠓⠑⠀⠉⠕⠍⠍⠕⠝⠀⠃⠁⠎⠑⠀⠊⠎⠀⠼⠆⠨⠐⠀⣍⠭⠤⠂⠀⠨⠅⠀⠼⠆⠭⠤⠲⠀⠿⠀⠿⠀⠿⠀⠿⠀⠠⠃⠽⠀⠞⠓⠑⠀⠕⠝⠑⠤⠞⠕⠤⠕⠝⠑⠀⠏⠗⠕⠏⠑⠗⠞⠽⠀⠞⠓⠑⠀⠑⠭⠏⠕⠝⠑⠝⠞⠎⠀⠍⠥⠎⠞⠀⠃⠑⠀⠑⠟⠥⠁⠇⠲⠀⣍⠭⠀⠨⠅⠀⠼⠒⠀⠠⠎⠕⠇⠧⠑⠀⠋⠕⠗⠀⠰⠭⠸⠲ | <math> <mtable> <mtr> <mtd> <mrow> <msup> <mn>2</mn> <mrow> <mi>x</mi> <mo>-</mo> <mn>1</mn> </mrow> </msup> <mo>=</mo> <msup> <mn>2</mn> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>-</mo> <mn>4</mn> </mrow> </msup> </mrow> </mtd> <mtd> <mrow> <mi>The common base is </mi> <mo>⁢</mo> <mn>2.</mn> </mrow> </mtd> </mtr> <mtr> <mtd> <mrow> <mrow> <mi>x</mi> <mo>-</mo> <mn>1</mn> </mrow> <mo>=</mo> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>-</mo> <mrow> <mn>4</mn> <mo>⁢</mo> <mtable> <mtr> <mtd> <mi> </mi> </mtd> <mtd> <mi> </mi> </mtd> <mtd> <mi> </mi> </mtd> <mtd> <mi> </mi> </mtd> </mtr> </mtable> </mrow> </mrow> </mrow> </mtd> <mtd> <mrow> <mi>By the one-to-one property the exponents must be equal</mi> <mo>.</mo> </mrow> </mtd> </mtr> <mtr> <mtd> <mrow> <mi>x</mi> <mo>=</mo> <mn>3</mn> </mrow> </mtd> <mtd> <mrow> <mrow> <mi>Solve for </mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>.</mo> </mrow> </mtd> </mtr> </mtable> </math> | <math> <mtable> <mtr> <mtd> <mrow> <msup> <mn>2</mn> <mrow> <mi>x</mi> <mo>-</mo> <mn>1</mn> </mrow> </msup> <mo>=</mo> <msup> <mn>2</mn> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>-</mo> <mn>4</mn> </mrow> </msup> </mrow> </mtd> <mtd> <mrow> <mi>The common base is </mi> <mo>⁢</mo> <mn>2.</mn> </mrow> </mtd> </mtr> <mtr> <mtd> <mrow> <mrow> <mi>x</mi> <mo>-</mo> <mn>1</mn> </mrow> <mo>=</mo> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>-</mo> <mrow> <mn>4</mn> <mo>⁢</mo> <mtable> <mtr> <mtd> <mi> </mi> </mtd> <mtd> <mi> </mi> </mtd> <mtd> <mi> </mi> </mtd> <mtd> <mi> </mi> </mtd> </mtr> </mtable> </mrow> </mrow> </mrow> </mtd> <mtd> <mrow> <mi>By the one-to-one property the exponents must be equal</mi> <mo>.</mo> </mrow> </mtd> </mtr> <mtr> <mtd> <mrow> <mi>x</mi> <mo>=</mo> <mn>3</mn> </mrow> </mtd> <mtd> <mrow> <mrow> <mi>Solve for </mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>.</mo> </mrow> </mtd> </mtr> </mtable> </math>
✗ | ⠨⠎⠀⠨⠅⠀⠜⠹⠨⠠⠎⠷⠭⠤⠨⠍⠾⠘⠆⠐⠌⠠⠝⠼⠻ | <math> <mrow> <mi>σ</mi> <mo>=</mo> <msqrt> <mfrac> <mrow> <mi>Σ</mi> <mo>⁢</mo> <msup> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>-</mo> <mi>μ</mi> </mrow> <mo>)</mo> </mrow> <mn>2</mn> </msup> </mrow> <mi>N</mi> </mfrac> </msqrt> </mrow> </math> | <math> <mrow> <mi>s</mi> <mo>=</mo> <msqrt> <mfrac> <mrow> <mi>Σ</mi> <mo>⁢</mo> <msup> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>-</mo> <mi>μ</mi> </mrow> <mo>)</mo> </mrow> <mn>2</mn> </msup> </mrow> <mi>N</mi> </mfrac> </msqrt> </mrow> </math>
✓ | ⠼⠂⠦⠬⠂⠔ | <math> <mrow> <mn>18</mn> <mo>+</mo> <mn>19</mn> </mrow> </math> | <math> <mrow> <mn>18</mn> <mo>+</mo> <mn>19</mn> </mrow> </math>
✓ | ⠷⠹⠋⠌⠛⠼⠾⠷⠞⠾⠀⠨⠅ | <math> <mrow> <mrow> <mrow> <mo>(</mo> <mfrac> <mi>f</mi> <mi>g</mi> </mfrac> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mo>(</mo> <mfrac> <mi>f</mi> <mi>g</mi> </mfrac> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> </mrow> </math>
✓ | ⠼⠢ | <math> <mn>5</mn> </math> | <math> <mn>5</mn> </math>
✓ | ⠈⠎⠲⠲⠠⠀⠼⠴⠢⠢⠸⠲ | <math> <mrow> <mi>$44,055</mi> <mo>.</mo> </mrow> </math> | <math> <mrow> <mi>$44,055</mi> <mo>.</mo> </mrow> </math>
✓ | ⠁⠆⠂⠸⠲ | <math> <mrow> <msub> <mi>a</mi> <mn>21</mn> </msub> <mo>.</mo> </mrow> </math> | <math> <mrow> <msub> <mi>a</mi> <mn>21</mn> </msub> <mo>.</mo> </mrow> </math>
✓ | ⠼⠂⠈⠡⠂⠦⠴⠿⠆⠈⠡⠔⠴⠿⠒⠈⠡⠖⠴⠿⠲⠈⠡⠲⠢⠿⠢⠈⠡⠒⠖⠿⠖⠈⠡⠒⠴⠿⠔⠈⠡⠆⠴⠿⠂⠴⠈⠡⠂⠦⠿⠂⠆⠈⠡⠂⠢ | <math> <mtable> <mtr> <mtd> <mrow> <mn>1</mn> <mo>×</mo> <mn>180</mn> <mo>⁢</mo> <mn>2</mn> <mo>×</mo> <mn>90</mn> <mo>⁢</mo> <mn>3</mn> <mo>×</mo> <mn>60</mn> <mo>⁢</mo> <mn>4</mn> <mo>×</mo> <mn>45</mn> <mo>⁢</mo> <mn>5</mn> <mo>×</mo> <mn>36</mn> <mo>⁢</mo> <mn>6</mn> <mo>×</mo> <mn>30</mn> <mo>⁢</mo> <mn>9</mn> <mo>×</mo> <mn>20</mn> <mo>⁢</mo> <mn>10</mn> <mo>×</mo> <mn>18</mn> <mo>⁢</mo> <mn>12</mn> <mo>×</mo> <mn>15</mn> </mrow> </mtd> </mtr> </mtable> </math> | <math> <mtable> <mtr> <mtd> <mrow> <mn>1</mn> <mo>×</mo> <mn>180</mn> <mo>⁢</mo> <mn>2</mn> <mo>×</mo> <mn>90</mn> <mo>⁢</mo> <mn>3</mn> <mo>×</mo> <mn>60</mn> <mo>⁢</mo> <mn>4</mn> <mo>×</mo> <mn>45</mn> <mo>⁢</mo> <mn>5</mn> <mo>×</mo> <mn>36</mn> <mo>⁢</mo> <mn>6</mn> <mo>×</mo> <mn>30</mn> <mo>⁢</mo> <mn>9</mn> <mo>×</mo> <mn>20</mn> <mo>⁢</mo> <mn>10</mn> <mo>×</mo> <mn>18</mn> <mo>⁢</mo> <mn>12</mn> <mo>×</mo> <mn>15</mn> </mrow> </mtd> </mtr> </mtable> </math>
✓ | ⠹⠂⠌⠭⠘⠆⠐⠼⠠ | <math> <mrow> <mfrac> <mn>1</mn> <msup> <mi>x</mi> <mn>2</mn> </msup> </mfrac> <mo>,</mo> </mrow> </math> | <math> <mrow> <mfrac> <mn>1</mn> <msup> <mi>x</mi> <mn>2</mn> </msup> </mfrac> <mo>,</mo> </mrow> </math>
✗ | ⠠⠵⠂⠀⠨⠅⠀⠹⠠⠭⠱⠤⠨⠍⠰⠠⠭⠱⠐⠌⠨⠎⠰⠠⠭⠱⠐⠼⠀⠨⠅⠀⠠⠹⠠⠭⠱⠤⠨⠍⠠⠌⠹⠨⠎⠸⠌⠜⠝⠻⠼⠠⠼ | <math> <mrow> <msub> <mi>Z</mi> <mn>1</mn> </msub> <mo>=</mo> <mfrac> <mrow> <mover> <mi>X</mi> <mo>¯</mo> </mover> <mo>-</mo> <msub> <mi>μ</mi> <mover> <mi>X</mi> <mo>¯</mo> </mover> </msub> </mrow> <msub> <mi>σ</mi> <mover> <mi>X</mi> <mo>¯</mo> </mover> </msub> </mfrac> <mo>=</mo> <mfrac> <mrow> <mover> <mi>X</mi> <mo>¯</mo> </mover> <mo>-</mo> <mi>μ</mi> </mrow> <mfrac bevelled="true"> <mi>σ</mi> <msqrt> <mi>n</mi> </msqrt> </mfrac> </mfrac> </mrow> </math> | <math> <mrow> <mrow> <msub> <mi>z</mi> <mn>1</mn> </msub> <mo>=</mo> <mfrac> <mrow> <mover> <mi>x</mi> <mo>¯</mo> </mover> <mo>-</mo> <msub> <mi>μ</mi> <mover> <mi>x</mi> <mo>¯</mo> </mover> </msub> </mrow> <msub> <mi>σ</mi> <mover> <mi>x</mi> <mo>¯</mo> </mover> </msub> </mfrac> <mo>=</mo> <mfrac> <mrow> <mover> <mi>x</mi> <mo>¯</mo> </mover> <mo>-</mo> <mi>μ</mi> </mrow> <mrow> <mi>σ</mi> <mo>/</mo> <msqrt> <mi>n</mi> </msqrt> </mrow> </mfrac> </mrow> <mo>,</mo> </mrow> </math>
✗ | ⠹⠂⠌⠲⠘⠹⠢⠌⠆⠼⠐⠼ | <math> <mfrac> <mn>1</mn> <msup> <mn>4</mn> <mfrac> <mn>5</mn> <mn>2</mn> </mfrac> </msup> </mfrac> </math> | <math> <msup> <mfrac> <mn>1</mn> <mn>4</mn> </mfrac> <mfrac> <mn>5</mn> <mn>2</mn> </mfrac> </msup> </math>
✓ | ⠼⠲⠒⠨⠒ | <math> <mn>43.3</mn> </math> | <math> <mn>43.3</mn> </math>
✓ | ⠐⠅⠍⠊⠸⠌⠨⠂⠀⠨⠂⠱⠀⠐⠅⠍⠊⠸⠌⠨⠂ | <math> <mrow> <mi>&lt;mi/&gt;</mi> <mo>≥</mo> <mi>&lt;mi/&gt;</mi> </mrow> </math> | <math> <mrow> <mi>&lt;mi/&gt;</mi> <mo>≥</mo> <mi>&lt;mi/&gt;</mi> </mrow> </math>
✓ | ⠉⠕⠎⠀⠷⠭⠾⠀⠨⠅⠀⠤⠼⠴⠨⠶⠢ | <math> <mrow> <mrow> <mi>cos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mo>-</mo> <mn>0.75</mn> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>cos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mo>-</mo> <mn>0.75</mn> </mrow> </mrow> </math>
✗ | ⠼⠲⠗⠷⠆⠗⠤⠂⠾⠘⠤⠹⠆⠌⠒⠼⠐⠤⠢⠷⠆⠗⠤⠂⠾⠘⠹⠂⠌⠒⠼ | <math> <mrow> <mrow> <mn>4</mn> <mo>⁢</mo> <mi>r</mi> <mo>⁢</mo> <msup> <mrow> <mo>(</mo> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>r</mi> </mrow> <mo>-</mo> <mn>1</mn> </mrow> <mo>)</mo> </mrow> <mrow> <mo>-</mo> <mfrac> <mn>2</mn> <mn>3</mn> </mfrac> </mrow> </msup> </mrow> <mo>-</mo> <mrow> <mn>5</mn> <mo>⁢</mo> <msup> <mrow> <mo>(</mo> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>r</mi> </mrow> <mo>-</mo> <mn>1</mn> </mrow> <mo>)</mo> </mrow> <mfrac> <mn>1</mn> <mn>3</mn> </mfrac> </msup> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mn>4</mn> <mo>⁢</mo> <mi>r</mi> <mo>⁢</mo> <msup> <mrow> <mo>(</mo> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>r</mi> </mrow> <mo>-</mo> <mn>1</mn> </mrow> <mo>)</mo> </mrow> <mrow> <mrow> <mo>-</mo> <mn>2</mn> </mrow> <mo>/</mo> <mn>3</mn> </mrow> </msup> </mrow> <mo>-</mo> <mrow> <mn>5</mn> <mo>⁢</mo> <msup> <mrow> <mo>(</mo> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>r</mi> </mrow> <mo>-</mo> <mn>1</mn> </mrow> <mo>)</mo> </mrow> <mrow> <mn>1</mn> <mo>/</mo> <mn>3</mn> </mrow> </msup> </mrow> </mrow> </math>
✓ | ⠹⠲⠦⠌⠂⠆⠂⠼ | <math> <mfrac> <mn>48</mn> <mn>121</mn> </mfrac> </math> | <math> <mfrac> <mn>48</mn> <mn>121</mn> </mfrac> </math>
