# Configuration:
#   Braille Code: ueb
#   Generate Braille: True
#   Model: gemini-3-pro-preview 
#   API Key: GEMINI_PAID_API_KEY
#   Batch Size: 40
#   Number of Examples: 2352
#   Example Braille File: RustTestData/UEB.brls
#   Example MathML File: RustTestData/UEB.mmls
#   Input Braille Dir: test_data/UEB.brls
#   Input MathML Dir: test_data/mathml.mmls
#
# 320 items. Usage info: prompt=2471475, candidates=20134, total=2586930, time=98951ms, TPS=4914.622032383034.2f
#
# Match | Test Input | Expected | Computed
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>1</mn><mrow><mi>x</mi><mo>−</mo><mn>2</mn></mrow></mfrac></mstyle><mo>÷</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>2</mn><mi>x</mi></mfrac></mstyle></math> | ⠰⠷⠼⠁⠨⠌⠭⠐⠤⠼⠃⠾⠐⠌⠷⠼⠃⠨⠌⠭⠾ | ⠰⠷⠼⠁⠨⠌⠭⠐⠤⠼⠃⠾⠐⠌⠷⠼⠃⠨⠌⠭⠾
✗ | <math><mtable columnalign="left"><mtr columnalign="left"><mtd columnalign="right"><mrow><msup><mi>e</mi><mrow><mn>2</mn><mi>x</mi></mrow></msup><mo>−</mo><msup><mi>e</mi><mi>x</mi></msup></mrow></mtd><mtd columnalign="left"><mrow><mo>=</mo><mn>56</mn></mrow></mtd><mtd columnalign="left"><mrow/></mtd></mtr><mtr columnalign="left"><mtd columnalign="right"><mrow><msup><mi>e</mi><mrow><mn>2</mn><mi>x</mi></mrow></msup><mo>−</mo><msup><mi>e</mi><mi>x</mi></msup><mo>−</mo><mn>56</mn></mrow></mtd><mtd columnalign="left"><mrow><mo>=</mo><mn>0</mn></mrow></mtd><mtd columnalign="left"><mrow><mtext>Get one side of the equation equal to zero</mtext><mo>.</mo></mrow></mtd></mtr><mtr columnalign="left"><mtd columnalign="right"><mrow><mo stretchy="false">(</mo><msup><mi>e</mi><mi>x</mi></msup><mo>+</mo><mn>7</mn><mo stretchy="false">)</mo><mo stretchy="false">(</mo><msup><mi>e</mi><mi>x</mi></msup><mo>−</mo><mn>8</mn><mo stretchy="false">)</mo></mrow></mtd><mtd columnalign="left"><mrow><mo>=</mo><mn>0</mn></mrow></mtd><mtd columnalign="left"><mrow><mtext>Factor by the FOIL method</mtext><mo>.</mo></mrow></mtd></mtr><mtr columnalign="left"><mtd columnalign="right"><mrow><msup><mi>e</mi><mi>x</mi></msup><mo>+</mo><mn>7</mn></mrow></mtd><mtd columnalign="left"><mrow><mo>=</mo><mn>0</mn><mspace width="0.4em"></mspace><mtext>or</mtext><msup><mi>e</mi><mi>x</mi></msup><mo>−</mo><mn>8</mn><mo>=</mo><mn>0</mn><mtable><mtr><mtd><mrow/></mtd><mtd><mrow/></mtd><mtd><mrow/></mtd><mtd><mrow/></mtd></mtr></mtable></mrow></mtd><mtd columnalign="left"><mrow><mtext>If a product is zero, then one factor must be zero</mtext><mo>.</mo></mrow></mtd></mtr><mtr columnalign="left"><mtd columnalign="right"><msup><mi>e</mi><mi>x</mi></msup></mtd><mtd columnalign="left"><mrow><mo>=</mo><mo>−</mo><mn>7</mn><msup><mrow><mspace width="0.4em"></mspace><mtext>or e</mtext></mrow><mi>x</mi></msup><mo>=</mo><mn>8</mn></mrow></mtd><mtd columnalign="left"><mrow><mtext>Isolate the exponentials</mtext><mo>.</mo></mrow></mtd></mtr><mtr columnalign="left"><mtd columnalign="right"><msup><mi>e</mi><mi>x</mi></msup></mtd><mtd columnalign="left"><mrow><mo>=</mo><mn>8</mn></mrow></mtd><mtd columnalign="left"><mrow><mtext>Reject the equation in which the power equals a negative number</mtext><mo>.</mo></mrow></mtd></mtr><mtr columnalign="left"><mtd columnalign="right"><mi>x</mi></mtd><mtd columnalign="left"><mrow><mo>=</mo><mi>ln</mi><mn>8</mn></mrow></mtd><mtd columnalign="left"><mrow><mtext>Solve the equation in which the power equals a positive number</mtext><mo>.</mo></mrow></mtd></mtr></mtable></math> | ⠰⠰⠰⠠⠑⠔⠣⠼⠃⠭⠜⠐⠤⠑⠔⠭⠀⠐⠶⠀⠼⠑⠋⠀⠬⠠⠠⠑⠔⠣⠼⠃⠭⠜⠐⠤⠑⠔⠭⠐⠤⠼⠑⠋⠀⠐⠶⠀⠼⠚⠀⠠⠛⠑⠞⠀⠕⠝⠑⠀⠎⠊⠙⠑⠀⠕⠋⠀⠞⠓⠑⠀⠑⠟⠥⠁⠞⠊⠕⠝⠀⠑⠟⠥⠁⠇⠀⠞⠕⠀⠵⠑⠗⠕⠲⠠⠠⠐⠣⠑⠔⠭⠐⠖⠼⠛⠐⠜⠐⠣⠑⠔⠭⠐⠤⠼⠓⠐⠜⠀⠐⠶⠀⠼⠚⠀⠠⠋⠁⠉⠞⠕⠗⠀⠃⠽⠀⠞⠓⠑⠀⠠⠠⠋⠕⠊⠇⠀⠍⠑⠞⠓⠕⠙⠲⠠⠠⠑⠔⠭⠐⠖⠼⠛⠀⠐⠶⠀⠼⠚⠀⠕⠗⠑⠔⠭⠐⠤⠼⠓⠀⠐⠶⠀⠼⠚⠬⠀⠬⠀⠬⠀⠬⠀⠠⠊⠋⠀⠁⠀⠏⠗⠕⠙⠥⠉⠞⠀⠊⠎⠀⠵⠑⠗⠕⠂⠀⠞⠓⠑⠝⠀⠕⠝⠑⠀⠋⠁⠉⠞⠕⠗⠀⠍⠥⠎⠞⠀⠃⠑⠀⠵⠑⠗⠕⠲⠠⠠⠑⠔⠭⠀⠐⠶⠀⠐⠤⠼⠛⠣⠀⠕⠗⠀⠑⠜⠔⠭⠀⠐⠶⠀⠼⠓⠀⠠⠊⠎⠕⠇⠁⠞⠑⠀⠞⠓⠑⠀⠑⠭⠏⠕⠝⠑⠝⠞⠊⠁⠇⠎⠲⠠⠠⠑⠔⠭⠀⠐⠶⠀⠼⠓⠀⠠⠗⠑⠚⠑⠉⠞⠀⠞⠓⠑⠀⠑⠟⠥⠁⠞⠊⠕⠝⠀⠊⠝⠀⠺⠓⠊⠉⠓⠀⠞⠓⠑⠀⠏⠕⠺⠑⠗⠀⠑⠟⠥⠁⠇⠎⠀⠁⠀⠝⠑⠛⠁⠞⠊⠧⠑⠀⠝⠥⠍⠃⠑⠗⠲⠠⠠⠭⠀⠐⠶⠀⠇⠝⠼⠓⠀⠠⠎⠕⠇⠧⠑⠀⠞⠓⠑⠀⠑⠟⠥⠁⠞⠊⠕⠝⠀⠊⠝⠀⠺⠓⠊⠉⠓⠀⠞⠓⠑⠀⠏⠕⠺⠑⠗⠀⠑⠟⠥⠁⠇⠎⠀⠁⠀⠏⠕⠎⠊⠞⠊⠧⠑⠀⠝⠥⠍⠃⠑⠗⠲⠠⠰⠄ | ⠰⠰⠰⠑⠔⠣⠼⠃⠭⠜⠐⠤⠑⠔⠭⠀⠐⠶⠀⠼⠑⠋⠀⠬⠠⠠⠑⠔⠣⠼⠃⠭⠜⠐⠤⠑⠔⠭⠐⠤⠼⠑⠋⠀⠐⠶⠀⠼⠚⠀⠠⠛⠑⠞⠀⠕⠝⠑⠀⠎⠊⠙⠑⠀⠕⠋⠀⠞⠓⠑⠀⠑⠟⠥⠁⠞⠊⠕⠝⠀⠑⠟⠥⠁⠇⠀⠞⠕⠀⠵⠑⠗⠕⠲⠠⠠⠐⠣⠑⠔⠭⠐⠖⠼⠛⠐⠜⠐⠣⠑⠔⠭⠐⠤⠼⠓⠐⠜⠀⠐⠶⠀⠼⠚⠀⠠⠋⠁⠉⠞⠕⠗⠀⠃⠽⠀⠞⠓⠑⠀⠠⠠⠋⠕⠊⠇⠀⠍⠑⠞⠓⠕⠙⠲⠠⠠⠑⠔⠭⠐⠖⠼⠛⠀⠐⠶⠀⠼⠚⠀⠕⠗⠀⠑⠔⠭⠐⠤⠼⠓⠀⠐⠶⠀⠼⠚⠀⠠⠊⠋⠀⠁⠀⠏⠗⠕⠙⠥⠉⠞⠀⠊⠎⠀⠵⠑⠗⠕⠂⠀⠞⠓⠑⠝⠀⠕⠝⠑⠀⠋⠁⠉⠞⠕⠗⠀⠍⠥⠎⠞⠀⠃⠑⠀⠵⠑⠗⠕⠲⠠⠠⠑⠔⠭⠀⠐⠶⠀⠐⠤⠼⠛⠀⠕⠗⠀⠑⠔⠭⠀⠐⠶⠀⠼⠓⠀⠠⠊⠎⠕⠇⠁⠞⠑⠀⠞⠓⠑⠀⠑⠭⠏⠕⠝⠑⠝⠞⠊⠁⠇⠎⠲⠠⠠⠑⠔⠭⠀⠐⠶⠀⠼⠓⠀⠠⠗⠑⠚⠑⠉⠞⠀⠞⠓⠑⠀⠑⠟⠥⠁⠞⠊⠕⠝⠀⠊⠝⠀⠺⠓⠊⠉⠓⠀⠞⠓⠑⠀⠏⠕⠺⠑⠗⠀⠑⠟⠥⠁⠇⠎⠀⠁⠀⠝⠑⠛⠁⠞⠊⠧⠑⠀⠝⠥⠍⠃⠑⠗⠲⠠⠠⠭⠀⠐⠶⠀⠇⠝⠀⠼⠓⠀⠠⠎⠕⠇⠧⠑⠀⠞⠓⠑⠀⠑⠟⠥⠁⠞⠊⠕⠝⠀⠊⠝⠀⠺⠓⠊⠉⠓⠀⠞⠓⠑⠀⠏⠕⠺⠑⠗⠀⠑⠟⠥⠁⠇⠎⠀⠁⠀⠏⠕⠎⠊⠞⠊⠧⠑⠀⠝⠥⠍⠃⠑⠗⠲⠠⠰⠄
✓ | <math><mo stretchy="false">→</mo></math> | ⠰⠳⠕ | ⠰⠳⠕
✗ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><mn>4</mn><msup><mi>b</mi><mn>2</mn></msup><mo>−</mo><mn>28</mn><mi>b</mi><mo>+</mo><mn>49</mn></mstyle></math> | ⠼⠙⠰⠃⠔⠼⠃⠐⠤⠼⠃⠓⠰⠃⠐⠖⠼⠙⠊ | ⠼⠙⠃⠔⠼⠃⠐⠤⠼⠃⠓⠃⠐⠖⠼⠙⠊
✓ | <math><mrow><mo stretchy="false">(</mo><mn>3</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>2</mn><mi>x</mi><mo>+</mo><mn>1</mn><mo stretchy="false">)</mo><mo>−</mo><mo stretchy="false">(</mo><msup><mi>x</mi><mn>2</mn></msup><mo>−</mo><mn>2</mn><mo>+</mo><mn>2</mn><mo stretchy="false">)</mo><mo>+</mo><mi>x</mi><mo stretchy="false">(</mo><mn>3</mn><mi>x</mi><mo>+</mo><mn>11</mn><mo stretchy="false">)</mo></mrow></math> | ⠐⠣⠼⠉⠭⠔⠼⠃⠐⠖⠼⠃⠭⠐⠖⠼⠁⠐⠜⠐⠤⠐⠣⠭⠔⠼⠃⠐⠤⠼⠃⠐⠖⠼⠃⠐⠜⠐⠖⠭⠐⠣⠼⠉⠭⠐⠖⠼⠁⠁⠐⠜ | ⠐⠣⠼⠉⠭⠔⠼⠃⠐⠖⠼⠃⠭⠐⠖⠼⠁⠐⠜⠐⠤⠐⠣⠭⠔⠼⠃⠐⠤⠼⠃⠐⠖⠼⠃⠐⠜⠐⠖⠭⠐⠣⠼⠉⠭⠐⠖⠼⠁⠁⠐⠜
✓ | <math><mrow><mi>h</mi><mo stretchy="false">(</mo><mi>v</mi><mo stretchy="false">)</mo><mo>=</mo><mi>v</mi><mo>⋅</mo><mi>f</mi><mo stretchy="false">(</mo><mi>v</mi><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | ⠓⠐⠣⠧⠐⠜⠀⠐⠶⠀⠧⠐⠲⠋⠐⠣⠧⠐⠜⠲ | ⠓⠐⠣⠧⠐⠜⠀⠐⠶⠀⠧⠐⠲⠋⠐⠣⠧⠐⠜⠲
✗ | <math><mrow><mo stretchy="false">(</mo><mi>h</mi><mo>,</mo><mi>k</mi><mo stretchy="false">)</mo></mrow></math> | ⠐⠣⠰⠓⠂⠀⠰⠅⠐⠜ | ⠐⠣⠓⠂⠀⠅⠐⠜
✓ | <math><mrow><msqrt><mo stretchy="false">(</mo><mn>10</mn><mo stretchy="false">(</mo><mn>10</mn><mo>+</mo><mn>1</mn><mo stretchy="false">)</mo></msqrt><mo>=</mo><msqrt><mn>10</mn><mo stretchy="false">(</mo><mn>11</mn><mo stretchy="false">)</mo></msqrt><mo>≈</mo><mn>10.488</mn></mrow></math> | ⠰⠰⠰⠩⠐⠣⠼⠁⠚⠐⠣⠼⠁⠚⠐⠖⠼⠁⠐⠜⠬⠀⠐⠶⠀⠩⠼⠁⠚⠐⠣⠼⠁⠁⠐⠜⠬⠀⠘⠔⠀⠼⠁⠚⠲⠙⠓⠓⠰⠄ | ⠰⠰⠰⠩⠐⠣⠼⠁⠚⠐⠣⠼⠁⠚⠐⠖⠼⠁⠐⠜⠬⠀⠐⠶⠀⠩⠼⠁⠚⠐⠣⠼⠁⠁⠐⠜⠬⠀⠘⠔⠀⠼⠁⠚⠲⠙⠓⠓⠰⠄
✓ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>≈</mo><mfrac><mrow><mn>3</mn><msup><mi>x</mi><mn>2</mn></msup></mrow><mi>x</mi></mfrac><mo>=</mo><mn>3</mn><mi>x</mi><mo>.</mo></mrow></math> | ⠋⠐⠣⠭⠐⠜⠀⠘⠔⠀⠰⠷⠼⠉⠭⠔⠼⠃⠨⠌⠭⠾⠀⠐⠶⠀⠼⠉⠭⠲ | ⠋⠐⠣⠭⠐⠜⠀⠘⠔⠀⠰⠷⠼⠉⠭⠔⠼⠃⠨⠌⠭⠾⠀⠐⠶⠀⠼⠉⠭⠲
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mo stretchy="false">(</mo><mn>0</mn><mo>,</mo><mn>8</mn><mo stretchy="false">)</mo><mo>,</mo><mtext> </mtext><mo stretchy="false">(</mo><mn>4</mn><mo>,</mo><mo>−</mo><mn>2</mn><mo stretchy="false">)</mo></math> | ⠐⠣⠼⠚⠂⠀⠼⠓⠐⠜⠂⠀⠐⠣⠼⠙⠂⠀⠐⠤⠼⠃⠐⠜ | ⠐⠣⠼⠚⠂⠀⠼⠓⠐⠜⠂⠀⠐⠣⠼⠙⠂⠀⠐⠤⠼⠃⠐⠜
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mn>0.1</mn></math> | ⠼⠚⠲⠁ | ⠼⠚⠲⠁
✗ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mn>1</mn><mtext>,</mtext></math> | ⠼⠁⠂⠀ | ⠼⠁⠂
✓ | <math><msup><mi>x</mi><mn>2</mn></msup></math> | ⠭⠰⠔⠼⠃ | ⠭⠰⠔⠼⠃
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mstyle displaystyle="true" scriptlevel="0"><mn>9</mn><mo stretchy="false">(</mo><mo>−</mo><mn>3</mn><mi>w</mi><mo stretchy="false">)</mo></mstyle></math> | ⠼⠊⠐⠣⠐⠤⠼⠉⠺⠐⠜ | ⠼⠊⠐⠣⠐⠤⠼⠉⠺⠐⠜
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mi>sin</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mn>2</mn><mi>ϕ</mi><mo stretchy="false">)</mo><mo>=</mo><mn>1</mn><mo>−</mo><mi>cos</mi><mo data-mjx-texclass="NONE">⁡</mo><mo stretchy="false">(</mo><mn>2</mn><mi>ϕ</mi><mo stretchy="false">)</mo></math> | ⠎⠔⠐⠣⠼⠃⠄⠸⠡⠭⠼⠚⠚⠚⠉⠰⠙⠼⠑⠄⠐⠜⠀⠐⠶⠀⠼⠁⠐⠤⠉⠕⠎⠐⠣⠼⠃⠄⠸⠡⠭⠼⠚⠚⠚⠉⠰⠙⠼⠑⠄⠐⠜ | ⠎⠔⠐⠣⠼⠃⠄⠸⠡⠭⠼⠚⠚⠚⠉⠰⠙⠼⠑⠄⠐⠜⠀⠐⠶⠀⠼⠁⠐⠤⠉⠕⠎⠐⠣⠼⠃⠄⠸⠡⠭⠼⠚⠚⠚⠉⠰⠙⠼⠑⠄⠐⠜
✓ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>2</mn><msup><mi>x</mi><mn>2</mn></msup><mo>−</mo><mn>4</mn><mi>x</mi><mo>+</mo><mn>2</mn></mrow></math> | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠃⠭⠔⠼⠃⠐⠤⠼⠙⠭⠐⠖⠼⠃ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠃⠭⠔⠼⠃⠐⠤⠼⠙⠭⠐⠖⠼⠃
✗ | <math><mrow><mi>Z</mi><mo>=</mo><mfrac><mrow><mn>27</mn><mo>−</mo><mn>18</mn></mrow><mn>4</mn></mfrac><mo>=</mo><mfrac><mn>9</mn><mn>4</mn></mfrac><mo>=</mo><mn>2.25</mn><mtext> standard deviations</mtext><mtext>.</mtext></mrow></math> | ⠰⠰⠰⠠⠵⠀⠐⠶⠀⠷⠼⠃⠛⠐⠤⠼⠁⠓⠨⠌⠼⠙⠾⠀⠐⠶⠀⠼⠊⠌⠙⠀⠐⠶⠀⠼⠃⠲⠃⠑⠀⠎⠞⠁⠝⠙⠁⠗⠙⠀⠙⠑⠧⠊⠁⠞⠊⠕⠝⠎⠲⠰⠄ | ⠰⠰⠰⠠⠵⠀⠐⠶⠀⠷⠼⠃⠛⠐⠤⠼⠁⠓⠨⠌⠼⠙⠾⠀⠐⠶⠀⠼⠊⠌⠙⠀⠐⠶⠀⠼⠃⠲⠃⠑⠀⠎⠞⠁⠝⠙⠁⠗⠙⠀⠙⠑⠧⠊⠁⠰⠝⠎⠲⠰⠄
✓ | <math><msub><mi>P</mi><mi>m</mi></msub></math> | ⠠⠏⠰⠢⠍ | ⠠⠏⠰⠢⠍
✗ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext> </mtext><mtext> </mtext><mtext> </mtext><mstyle displaystyle="true" scriptlevel="0"><mfrac><mrow><mn>3</mn><mi>x</mi></mrow><mn>4</mn></mfrac></mstyle><mo>−</mo><mn>1</mn><mo>=</mo><mn>2</mn><mi>x</mi><mo>+</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>9</mn><mn>2</mn></mfrac></mstyle></math> | ⠬⠰⠷⠼⠉⠭⠨⠌⠼⠙⠾⠐⠤⠼⠁⠀⠐⠶⠀⠼⠃⠭⠐⠖⠼⠊⠌⠃ | ⠀⠰⠷⠼⠉⠭⠨⠌⠼⠙⠾⠐⠤⠼⠁⠀⠐⠶⠀⠼⠃⠭⠐⠖⠼⠊⠌⠃
✗ | <math><mrow><mi>d</mi><mtext>,</mtext></mrow></math> | ⠰⠙⠂⠀ | ⠙⠂
✗ | <math><mrow><mn>3</mn><mi>x</mi><mo>+</mo><mn>1</mn><mo>,</mo></mrow></math> | ⠼⠉⠭⠐⠖⠼⠁⠂⠀ | ⠼⠉⠭⠐⠖⠼⠁⠂
✗ | <math><mfrac><mrow><msup><mn>4</mn><mn>−2</mn></msup><msup><mi>x</mi><mn>3</mn></msup><msup><mi>y</mi><mn>−3</mn></msup></mrow><mrow><mn>2</mn><msup><mi>x</mi><mn>0</mn></msup></mrow></mfrac></math> | ⠰⠷⠼⠙⠔⠣⠐⠤⠼⠃⠜⠭⠔⠼⠉⠽⠔⠣⠐⠤⠼⠉⠜⠨⠌⠼⠃⠭⠔⠼⠚⠾ | ⠰⠰⠷⠼⠙⠔⠣⠐⠤⠼⠃⠜⠭⠔⠼⠉⠽⠔⠣⠐⠤⠼⠉⠜⠨⠌⠼⠃⠭⠔⠼⠚⠾
✓ | <math><mrow><mi>P</mi><mo stretchy="false">(</mo><mi>F</mi><mtext>and</mtext><mi>L</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mtext>number of female, left-handed subjects</mtext><mtext>total number of subjects</mtext></mfrac><mo>=</mo><mfrac><mn>4</mn><mn>100</mn></mfrac><mo>=</mo><mn>.04</mn></mrow></math> | ⠰⠰⠰⠠⠏⠐⠣⠠⠋⠁⠝⠙⠠⠇⠐⠜⠀⠐⠶⠀⠷⠝⠥⠍⠃⠑⠗⠀⠕⠋⠀⠋⠑⠍⠁⠇⠑⠂⠀⠇⠑⠋⠞⠤⠓⠁⠝⠙⠑⠙⠀⠎⠥⠃⠚⠑⠉⠞⠎⠨⠌⠞⠕⠞⠁⠇⠀⠝⠥⠍⠃⠑⠗⠀⠕⠋⠀⠎⠥⠃⠚⠑⠉⠞⠎⠾⠀⠐⠶⠀⠼⠙⠌⠁⠚⠚⠀⠐⠶⠀⠼⠲⠚⠙⠰⠄ | ⠰⠰⠰⠠⠏⠐⠣⠠⠋⠁⠝⠙⠠⠇⠐⠜⠀⠐⠶⠀⠷⠝⠥⠍⠃⠑⠗⠀⠕⠋⠀⠋⠑⠍⠁⠇⠑⠂⠀⠇⠑⠋⠞⠤⠓⠁⠝⠙⠑⠙⠀⠎⠥⠃⠚⠑⠉⠞⠎⠨⠌⠞⠕⠞⠁⠇⠀⠝⠥⠍⠃⠑⠗⠀⠕⠋⠀⠎⠥⠃⠚⠑⠉⠞⠎⠾⠀⠐⠶⠀⠼⠙⠌⠁⠚⠚⠀⠐⠶⠀⠼⠲⠚⠙⠰⠄
✗ | <math><mrow><mi>log</mi><mrow><mo>(</mo><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>13</mn></mrow><mo>)</mo></mrow><mo>=</mo><mi>log</mi><mrow><mo>(</mo><mrow><mn>7</mn><mi>x</mi><mo>+</mo><mn>3</mn></mrow><mo>)</mo></mrow></mrow></math> | ⠰⠰⠇⠕⠛⠐⠣⠭⠔⠼⠃⠐⠖⠼⠁⠉⠐⠜⠀⠐⠶⠀⠇⠕⠛⠐⠣⠼⠛⠭⠐⠖⠼⠉⠐⠜ | ⠇⠕⠛⠐⠣⠭⠔⠼⠃⠐⠖⠼⠁⠉⠐⠜⠀⠐⠶⠀⠇⠕⠛⠐⠣⠼⠛⠭⠐⠖⠼⠉⠐⠜
✗ | <math><mi>s</mi></math> | ⠰⠎ | ⠎
✓ | <math><mfrac><mn>15</mn><mrow><mn>5</mn><mo>−</mo><msqrt><mn>13</mn></msqrt></mrow></mfrac></math> | ⠰⠷⠼⠁⠑⠨⠌⠼⠑⠐⠤⠩⠼⠁⠉⠬⠾ | ⠰⠷⠼⠁⠑⠨⠌⠼⠑⠐⠤⠩⠼⠁⠉⠬⠾
✓ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext> </mtext><mi>y</mi><mo>=</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>3</mn><mn>4</mn></mfrac></mstyle><mi>x</mi><mo>−</mo><mn>2</mn></math> | ⠀⠰⠽⠀⠐⠶⠀⠼⠉⠌⠙⠭⠐⠤⠼⠃ | ⠀⠰⠽⠀⠐⠶⠀⠼⠉⠌⠙⠭⠐⠤⠼⠃
✗ | <math><mtable displaystyle="true" columnspacing="1em" rowspacing="3pt" minlabelspacing=".8em"><mtr><mtd><mrow><mtext>Mean</mtext><mo>−</mo><mn>1</mn><mtext> standard deviation</mtext><mo>=</mo><mn>18</mn><mo>−</mo><mn>4</mn><mo>=</mo><mn>14</mn></mrow></mtd></mtr><mtr><mtd><mrow><mtext>Mean</mtext><mo>−</mo><mn>2</mn><mtext> standard deviations</mtext><mo>=</mo><mn>18</mn><mo>−</mo><mn>2</mn><mo stretchy="false">(</mo><mn>4</mn><mo stretchy="false">)</mo><mo>=</mo><mn>10</mn></mrow></mtd></mtr><mtr><mtd><mrow><mtext>Mean</mtext><mo>−</mo><mn>3</mn><mtext> standard deviations</mtext><mo>=</mo><mn>18</mn><mo>−</mo><mn>3</mn><mo stretchy="false">(</mo><mn>4</mn><mo stretchy="false">)</mo><mo>=</mo><mn>6</mn></mrow></mtd></mtr></mtable></math> | ⠠⠠⠍⠂⠝⠐⠤⠼⠁⠀⠌⠯⠜⠙⠀⠙⠑⠧⠊⠁⠰⠝⠀⠐⠶⠀⠼⠁⠓⠐⠤⠼⠙⠀⠐⠶⠀⠼⠁⠙⠠⠠⠠⠍⠑⠁⠝⠐⠤⠼⠃⠀⠌⠯⠜⠙⠀⠙⠑⠧⠊⠁⠰⠝⠎⠀⠐⠶⠀⠼⠁⠓⠐⠤⠼⠃⠐⠣⠼⠙⠐⠜⠀⠐⠶⠀⠼⠁⠚⠠⠠⠠⠍⠑⠁⠝⠐⠤⠼⠉⠀⠌⠯⠜⠙⠀⠙⠑⠧⠊⠁⠰⠝⠎⠀⠐⠶⠀⠼⠁⠓⠐⠤⠼⠉⠐⠣⠼⠙⠐⠜⠀⠐⠶⠀⠼⠋⠠ | ⠰⠰⠰⠠⠍⠑⠁⠝⠐⠤⠼⠁⠀⠎⠞⠁⠝⠙⠁⠗⠙⠀⠙⠑⠧⠊⠁⠰⠝⠀⠐⠶⠀⠼⠁⠓⠐⠤⠼⠙⠀⠐⠶⠀⠼⠁⠙⠠⠠⠠⠍⠑⠁⠝⠐⠤⠼⠃⠀⠎⠞⠁⠝⠙⠁⠗⠙⠀⠙⠑⠧⠊⠁⠰⠝⠎⠀⠐⠶⠀⠼⠁⠓⠐⠤⠼⠃⠐⠣⠼⠙⠐⠜⠀⠐⠶⠀⠼⠁⠚⠠⠠⠠⠍⠑⠁⠝⠐⠤⠼⠉⠀⠎⠞⠁⠝⠙⠁⠗⠙⠀⠙⠑⠧⠊⠁⠰⠝⠎⠀⠐⠶⠀⠼⠁⠓⠐⠤⠼⠉⠐⠣⠼⠙⠐⠜⠀⠐⠶⠀⠼⠋⠰⠄
✓ | <math><mrow><msup><mn>9</mn><mrow><mi>x</mi><mo>−</mo><mn>10</mn></mrow></msup><mo>=</mo><mn>1</mn></mrow></math> | ⠼⠊⠔⠣⠭⠐⠤⠼⠁⠚⠜⠀⠐⠶⠀⠼⠁ | ⠼⠊⠔⠣⠭⠐⠤⠼⠁⠚⠜⠀⠐⠶⠀⠼⠁
✗ | <math><mrow><msub><mi>a</mi><mi>n</mi></msub><mo>=</mo><mfrac><mn>1</mn><mn>2</mn></mfrac><mi>n</mi><mo>+</mo><mn>5</mn></mrow></math> | ⠁⠰⠢⠝⠀⠐⠶⠀⠼⠁⠌⠃⠝⠐⠖⠼⠑ | ⠰⠁⠢⠝⠀⠐⠶⠀⠼⠁⠌⠃⠝⠐⠖⠼⠑
✓ | <math><mn>8</mn></math> | ⠼⠓ | ⠼⠓
✗ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext mathcolor="red">\delimitershortfall</mtext><mo>−</mo><mn>1</mn><mi>s</mi><mi>p</mi></math> | ⠸⠡⠙⠑⠇⠊⠍⠊⠞⠻⠩⠕⠗⠞⠋⠁⠇⠇⠐⠤⠼⠁⠎⠏ | ⠸⠡⠙⠑⠇⠊⠍⠊⠞⠑⠗⠎⠓⠕⠗⠞⠋⠁⠇⠇⠐⠤⠼⠁⠎⠏
✓ | <math><mrow><mrow><mo>(</mo><mrow><mn>1</mn><mo>,</mo><mn>−5</mn></mrow><mo>)</mo></mrow><mo>.</mo></mrow></math> | ⠐⠣⠼⠁⠂⠀⠐⠤⠼⠑⠐⠜⠲ | ⠐⠣⠼⠁⠂⠀⠐⠤⠼⠑⠐⠜⠲
