# Configuration:
#   Braille Code: ueb
#   Generate Braille: False
#   Model: gemini-2.5-pro
#   API Key: GEMINI_API_KEY
#   Batch Size: 70
#   Number of Examples: 192
#   Example Braille File: RustTestData/UEB.brls
#   Example MathML File: RustTestData/UEB.mmls
#   Input Braille Dir: test_data/UEB
#   Input MathML Dir: test_data/MathML
#
# 200 items. Usage info: prompt=79456, candidates=9128, total=122274, time=212739ms, TPS=23306.20070113935.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✓ | ⠋⠐⠣⠞⠐⠜⠀⠐⠶⠀⠁⠃⠰⠔⠞ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>a</mi> <mo>⁢</mo> <msup> <mi>b</mi> <mi>t</mi> </msup> </mrow> </mrow> </math> | <math><mi>f</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup></math>
✗ | ⠰⠰⠰⠏⠐⠣⠭⠐⠜⠀⠐⠶⠀⠸⠣⠠⠐⠤⠐⠣⠭⠐⠖⠼⠃⠐⠜⠔⠼⠃⠐⠖⠼⠃⠂⠀⠭⠀⠈⠣⠀⠼⠚⠠⠠⠼⠁⠌⠃⠐⠣⠭⠐⠤⠼⠃⠐⠜⠔⠼⠃⠐⠖⠼⠁⠂⠀⠭⠀⠸⠈⠜⠀⠼⠚⠠⠈⠣⠍⠕⠀⠙⠁⠞⠁⠐⠤⠍⠚⠭⠐⠤⠞⠑⠭⠉⠇⠁⠎⠎⠐⠶⠠⠶⠠⠠⠉⠇⠕⠎⠑⠠⠶⠀⠋⠑⠝⠉⠑⠐⠶⠠⠶⠞⠗⠥⠑⠠⠶⠀⠎⠞⠗⠑⠞⠉⠓⠽⠐⠶⠠⠶⠞⠗⠥⠑⠠⠶⠀⠎⠽⠍⠍⠑⠞⠗⠊⠉⠐⠶⠠⠶⠞⠗⠥⠑⠠⠶⠸⠌⠈⠜⠰⠄ | <math><mrow><mi>p</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">{</mo><mtable columnalign="left left" columnspacing="1em" rowspacing=".2em"><mtr><mtd><mrow><mo>−</mo><mo stretchy="false">(</mo><mi>x</mi><mo>+</mo><mn>2</mn><msup><mo stretchy="false">)</mo><mn>2</mn></msup><mo>+</mo><mn>2</mn><mo>,</mo></mrow></mtd><mtd><mrow><mi>x</mi><mo>&lt;</mo><mn>0</mn></mrow></mtd></mtr><mtr><mtd><mrow><mfrac><mn>1</mn><mn>2</mn></mfrac><mo stretchy="false">(</mo><mi>x</mi><mo>−</mo><mn>2</mn><msup><mo stretchy="false">)</mo><mn>2</mn></msup><mo>+</mo><mn>1</mn><mo>,</mo></mrow></mtd><mtd><mrow><mi>x</mi><mo>≥</mo><mn>0</mn></mrow></mtd></mtr></mtable><mo data-mjx-texclass="CLOSE" fence="true" stretchy="true" symmetric="true">&lt;mo data-mjx-texclass="CLOSE" fence="true" stretchy="true" symmetric="true"/&gt;</mo></mrow></mrow></math> | <math><mi>P</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mrow><mo>{</mo><mtable columnalign="left"><mtr><mtd><mo>-</mo><msup><mrow><mo>(</mo><mi>x</mi><mo>+</mo><mn>2</mn><mo>)</mo></mrow><mn>2</mn></msup><mo>+</mo><mn>2</mn><mo>,</mo></mtd><mtd><mi>x</mi><mo>&lt;</mo><mn>0</mn></mtd></mtr><mtr><mtd><mfrac><mn>1</mn><mn>2</mn></mfrac><msup><mrow><mo>(</mo><mi>x</mi><mo>-</mo><mn>2</mn><mo>)</mo></mrow><mn>2</mn></msup><mo>+</mo><mn>1</mn><mo>,</mo></mtd><mtd><mi>x</mi><mo>&#x2265;</mo><mn>0</mn></mtd></mtr></mtable></mrow></math>
✗ | ⠏⠐⠣⠐⠤⠼⠃⠐⠜⠂⠀ | <math><mrow><mi>p</mi><mo stretchy="false">(</mo><mo>−</mo><mn>2</mn><mo stretchy="false">)</mo><mtext>,</mtext></mrow></math> | <math><mi>P</mi><mo>(</mo><mo>-</mo><mn>2</mn><mo>)</mo><mo>,</mo></math>
✗ | ⠏⠐⠣⠼⠃⠐⠜⠂⠀ | <math><mrow><mi>p</mi><mo stretchy="false">(</mo><mn>2</mn><mo stretchy="false">)</mo><mtext>,</mtext></mrow></math> | <math><mi>P</mi><mo>(</mo><mn>2</mn><mo>)</mo><mo>,</mo></math>
✓ | ⠰⠭⠀⠈⠣⠀⠼⠚⠦ | <math><mrow><mi>x</mi><mo>&lt;</mo><mn>0</mn><mtext>?</mtext></mrow></math> | <math><mi>x</mi><mo>&lt;</mo><mn>0</mn><mo>?</mo></math>
✗ | ⠏⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠚⠦ | <math><mrow><mi>p</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>0</mn><mtext>?</mtext></mrow></math> | <math><mi>P</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mn>0</mn><mo>?</mo></math>
✗ | ⠏⠰⠦ | <math><mrow><mi>p</mi><mtext>?</mtext></mrow></math> | <math><mi>P</mi><mo>?</mo></math>
✗ | ⠰⠽⠀⠐⠶⠀⠏⠐⠣⠭⠐⠜⠲ | <math><mrow><mi>y</mi><mo>=</mo><mi>p</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | <math><mi>y</mi><mo>=</mo><mi>P</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>.</mo></math>
✗ | ⠏⠐⠣⠭⠐⠜⠀⠐⠶⠀⠐⠣⠋⠐⠲⠛⠐⠜⠐⠣⠭⠐⠜⠀⠐⠶⠀⠋⠐⠣⠭⠐⠜⠐⠲⠛⠐⠣⠭⠐⠜⠲ | <math><mrow><mi>p</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mo stretchy="false">(</mo><mi>f</mi><mo>⋅</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>⋅</mo><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mtext>.</mtext></mrow></math> | <math><mi>P</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mo>(</mo><mi>f</mi><mo>&#xB7;</mo><mi>g</mi><mo>)</mo><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>&#xB7;</mo><mi>g</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>.</mo></math>
✗ | ⠰⠰⠰⠠⠏⠐⠣⠭⠐⠜⠀⠐⠶⠀⠸⠣⠠⠋⠐⠣⠭⠐⠜⠂⠀⠭⠀⠈⠣⠀⠁⠠⠠⠛⠐⠣⠭⠐⠜⠂⠀⠭⠀⠸⠈⠜⠀⠁⠠⠈⠣⠍⠕⠀⠙⠁⠞⠁⠐⠤⠍⠚⠭⠐⠤⠞⠑⠭⠉⠇⠁⠎⠎⠐⠶⠠⠶⠠⠠⠉⠇⠕⠎⠑⠠⠶⠀⠋⠑⠝⠉⠑⠐⠶⠠⠶⠞⠗⠥⠑⠠⠶⠀⠎⠞⠗⠑⠞⠉⠓⠽⠐⠶⠠⠶⠞⠗⠥⠑⠠⠶⠀⠎⠽⠍⠍⠑⠞⠗⠊⠉⠐⠶⠠⠶⠞⠗⠥⠑⠠⠶⠸⠌⠈⠜⠰⠄ | <math><mrow><mi>P</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">{</mo><mtable columnalign="left left" columnspacing="1em" rowspacing=".2em"><mtr><mtd><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>,</mo></mrow></mtd><mtd><mrow><mi>x</mi><mo>&lt;</mo><mi>a</mi></mrow></mtd></mtr><mtr><mtd><mrow><mi>g</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>,</mo></mrow></mtd><mtd><mrow><mi>x</mi><mo>≥</mo><mi>a</mi></mrow></mtd></mtr></mtable><mo data-mjx-texclass="CLOSE" fence="true" stretchy="true" symmetric="true">&lt;mo data-mjx-texclass="CLOSE" fence="true" stretchy="true" symmetric="true"/&gt;</mo></mrow></mrow></math> | <math><mi>P</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mrow><mo>{</mo><mtable columnalign="left"><mtr><mtd><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>,</mo></mtd><mtd><mi>x</mi><mo>&lt;</mo><mi>a</mi></mtd></mtr><mtr><mtd><mi>g</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>,</mo></mtd><mtd><mi>x</mi><mo>&#x2265;</mo><mi>a</mi></mtd></mtr></mtable></mrow></math>
✓ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠃⠭⠐⠖⠼⠙ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>2</mn><mi>x</mi><mo>+</mo><mn>4</mn></mrow></math> | <math><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mn>2</mn><mi>x</mi><mo>+</mo><mn>4</mn></math>
✓ | ⠐⠣⠋⠐⠤⠛⠐⠜⠐⠣⠭⠐⠜⠀⠐⠶ | <math><mrow><mo stretchy="false">(</mo><mi>f</mi><mo>−</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo></mrow></math> | <math><mo>(</mo><mi>f</mi><mo>-</mo><mi>g</mi><mo>)</mo><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo></math>
✓ | ⠋⠐⠣⠞⠐⠜⠀⠐⠶⠀⠞⠐⠤⠼⠃ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>t</mi><mo>−</mo><mn>2</mn></mrow></math> | <math><mi>f</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo><mi>t</mi><mo>-</mo><mn>2</mn></math>
✓ | ⠰⠰⠐⠣⠷⠋⠨⠌⠛⠾⠐⠜⠐⠣⠞⠐⠜⠀⠐⠶ | <math><mrow><mrow data-mjx-texclass="INNER"><mo data-mjx-texclass="OPEN">(</mo><mfrac><mi>f</mi><mi>g</mi></mfrac><mo data-mjx-texclass="CLOSE">)</mo></mrow><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo></mrow></math> | <math><mrow><mo>(</mo><mfrac><mi>f</mi><mi>g</mi></mfrac><mo>)</mo></mrow><mrow><mo>(</mo><mi>t</mi><mo>)</mo></mrow><mo>=</mo></math>
✓ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠃⠐⠖⠭⠔⠼⠃ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>2</mn><mo>+</mo><msup><mi>x</mi><mn>2</mn></msup></mrow></math> | <math><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mn>2</mn><mo>+</mo><msup><mi>x</mi><mn>2</mn></msup></math>
✗ | ⠐⠣⠋⠐⠲⠛⠐⠜⠐⠣⠭⠐⠜⠀⠐⠶ | <math><mrow><mo stretchy="false">(</mo><mi>f</mi><mo>⋅</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo></mrow></math> | <math><mo>(</mo><mi>f</mi><mo>&#xB7;</mo><mi>g</mi><mo>)</mo><mo>(</mo><mi>x</mi><mo>)</><mo>=</mo></math>
✓ | ⠋⠐⠣⠼⠉⠐⠜⠀⠐⠶ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mn>3</mn><mo stretchy="false">)</mo><mo>=</mo></mrow></math> | <math><mi>f</mi><mo>(</mo><mn>3</mn><mo>)</mo><mo>=</mo></math>
✓ | ⠋⠐⠣⠼⠉⠐⠜⠐⠖⠛⠐⠣⠼⠉⠐⠜⠀⠐⠶ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mn>3</mn><mo stretchy="false">)</mo><mo>+</mo><mi>g</mi><mo stretchy="false">(</mo><mn>3</mn><mo stretchy="false">)</mo><mo>=</mo></mrow></math> | <math><mi>f</mi><mo>(</mo><mn>3</mn><mo>)</mo><mo>+</mo><mi>g</mi><mo>(</mo><mn>3</mn><mo>)</mo><mo>=</mo></math>
✓ | ⠋⠐⠣⠐⠤⠼⠃⠐⠜⠀⠐⠶ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mo>−</mo><mn>2</mn><mo stretchy="false">)</mo><mo>=</mo></mrow></math> | <math><mi>f</mi><mo>(</mo><mo>-</mo><mn>2</mn><mo>)</mo><mo>=</mo></math>
✓ | ⠐⠣⠋⠐⠖⠛⠐⠜⠐⠣⠐⠤⠼⠃⠐⠜⠀⠐⠶ | <math><mrow><mo stretchy="false">(</mo><mi>f</mi><mo>+</mo><mi>g</mi><mo stretchy="false">)</mo><mo stretchy="false">(</mo><mo>−</mo><mn>2</mn><mo stretchy="false">)</mo><mo>=</mo></mrow></math> | <math><mo>(</mo><mi>f</mi><mo>+</mo><mi>g</mi><mo>)</mo><mo>(</mo><mo>-</mo><mn>2</mn><mo>)</mo><mo>=</mo></math>
✓ | ⠼⠁ | <math><mn>1</mn></math> | <math><mn>1</mn></math>
✓ | ⠼⠉ | <math><mn>3</mn></math> | <math><mn>3</mn></math>

#===========

# Normalized MathML
Match | Test Input | Expected | Computed
✓ | ⠋⠐⠣⠞⠐⠜⠀⠐⠶⠀⠁⠃⠰⠔⠞ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>a</mi> <mo>⁢</mo> <msup> <mi>b</mi> <mi>t</mi> </msup> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>a</mi> <mo>⁢</mo> <msup> <mi>b</mi> <mi>t</mi> </msup> </mrow> </mrow> </math>
✓ | ⠛⠐⠣⠞⠐⠜⠀⠐⠶⠀⠁⠃⠰⠔⠞⠐⠖⠉ | <math> <mrow> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mi>a</mi> <mo>⁢</mo> <msup> <mi>b</mi> <mi>t</mi> </msup> </mrow> <mo>+</mo> <mi>c</mi> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mi>a</mi> <mo>⁢</mo> <msup> <mi>b</mi> <mi>t</mi> </msup> </mrow> <mo>+</mo> <mi>c</mi> </mrow> </mrow> </math>
✓ | ⠼⠁⠚ | <math> <mn>10</mn> </math> | <math> <mn>10</mn> </math>
✓ | ⠼⠃⠐⠖⠼⠉⠀⠐⠶⠀⠼⠑⠒ | <math> <mrow> <mrow> <mrow> <mn>2</mn> <mo>+</mo> <mn>3</mn> </mrow> <mo>=</mo> <mn>5</mn> </mrow> <mo>:</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mn>2</mn> <mo>+</mo> <mn>3</mn> </mrow> <mo>=</mo> <mn>5</mn> </mrow> <mo>:</mo> </mrow> </math>
✓ | ⠼⠃ | <math> <mn>2</mn> </math> | <math> <mn>2</mn> </math>
✗ | ⠼⠃⠐⠲⠼⠉⠀⠐⠶⠀⠼⠋⠲ | <math> <mrow> <mrow> <mrow> <mn>2</mn> <mo>⋅</mo> <mn>3</mn> </mrow> <mo>=</mo> <mn>6</mn> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mn>2</mn> <mo>·</mo> <mn>3</mn> </mrow> <mo>=</mo> <mn>6</mn> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠰⠰⠰⠋⠒⠀⠠⠃⠀⠳⠕⠀⠠⠉⠂⠀⠰⠄ | <math> <mrow> <mrow> <mi>f</mi> <mo>:</mo> <mrow> <mi>B</mi> <mo>→</mo> <mi>C</mi> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>:</mo> <mrow> <mi>B</mi> <mo>→</mo> <mi>C</mi> </mrow> </mrow> <mo>,</mo> </mrow> </math>
✓ | ⠐⠣⠋⠐⠴⠛⠐⠜⠐⠣⠭⠐⠜⠀⠐⠶⠀⠋⠐⠣⠛⠐⠣⠭⠐⠜⠐⠜⠲ | <math> <mrow> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>∘</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>)</mo> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>∘</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>)</mo> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠰⠛ | <math> <mi>g</mi> </math> | <math> <mi>g</mi> </math>
✓ | ⠰⠋ | <math> <mi>f</mi> </math> | <math> <mi>f</mi> </math>
✓ | ⠰⠟ | <math> <mi>q</mi> </math> | <math> <mi>q</mi> </math>
✓ | ⠰⠟⠂⠀ | <math> <mrow> <mi>q</mi> <mo>,</mo> </mrow> </math> | <math> <mrow> <mi>q</mi> <mo>,</mo> </mrow> </math>
✓ | ⠰⠏⠲ | <math> <mrow> <mi>p</mi> <mo>.</mo> </mrow> </math> | <math> <mrow> <mi>p</mi> <mo>.</mo> </mrow> </math>
✓ | ⠋⠐⠣⠭⠐⠜ | <math> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </math> | <math> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </math>
✓ | ⠰⠛⠲ | <math> <mrow> <mi>g</mi> <mo>.</mo> </mrow> </math> | <math> <mrow> <mi>g</mi> <mo>.</mo> </mrow> </math>
✓ | ⠓⠐⠣⠭⠐⠜⠀⠐⠶⠀⠋⠐⠣⠭⠐⠜⠐⠖⠛⠐⠣⠭⠐⠜⠲ | <math> <mrow> <mrow> <mrow> <mi>h</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>+</mo> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>h</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>+</mo> <mrow> <mi>g</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠗⠐⠣⠭⠐⠜⠀⠐⠶⠀⠏⠐⠣⠭⠐⠜⠐⠤⠟⠐⠣⠭⠐⠜⠲ | <math> <mrow> <mrow> <mrow> <mi>r</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mi>p</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>-</mo> <mrow> <mi>q</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>r</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mi>p</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>-</mo> <mrow> <mi>q</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠗⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠚⠦ | <math> <mrow> <mrow> <mrow> <mi>r</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>0</mn> </mrow> <mo>?</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>r</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>0</mn> </mrow> <mo>?</mo> </mrow> </math>
✓ | ⠅⠐⠣⠼⠚⠐⠜⠲ | <math> <mrow> <mrow> <mi>k</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>0</mn> <mo>)</mo> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>k</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>0</mn> <mo>)</mo> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠎⠐⠣⠼⠁⠐⠜ | <math> <mrow> <mi>s</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>1</mn> <mo>)</mo> </mrow> </mrow> </math> | <math> <mrow> <mi>s</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>1</mn> <mo>)</mo> </mrow> </mrow> </math>
✓ | ⠎⠐⠣⠭⠐⠜ | <math> <mrow> <mi>s</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </math> | <math> <mrow> <mi>s</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </math>
✓ | ⠼⠉⠭⠐⠤⠼⠙⠽⠀⠐⠶⠀⠼⠛⠦ | <math> <mrow> <mrow> <mrow> <mrow> <mn>3</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>-</mo> <mrow> <mn>4</mn> <mo>⁢</mo> <mi>y</mi> </mrow> </mrow> <mo>=</mo> <mn>7</mn> </mrow> <mo>?</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mrow> <mn>3</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>-</mo> <mrow> <mn>4</mn> <mo>⁢</mo> <mi>y</mi> </mrow> </mrow> <mo>=</mo> <mn>7</mn> </mrow> <mo>?</mo> </mrow> </math>
✓ | ⠰⠭⠀⠐⠶⠀⠐⠤⠼⠃⠦ | <math> <mrow> <mrow> <mi>x</mi> <mo>=</mo> <mrow> <mo>-</mo> <mn>2</mn> </mrow> </mrow> <mo>?</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>x</mi> <mo>=</mo> <mrow> <mo>-</mo> <mn>2</mn> </mrow> </mrow> <mo>?</mo> </mrow> </math>
✓ | ⠟⠐⠣⠭⠐⠜⠀⠐⠶⠀⠐⠤⠼⠉⠭⠔⠼⠃⠐⠖⠼⠑⠭⠐⠤⠼⠛ | <math> <mrow> <mrow> <mi>q</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mrow> <mo>-</mo> <mn>3</mn> </mrow> <mo>⁢</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> <mo>+</mo> <mrow> <mn>5</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>-</mo> <mn>7</mn> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>q</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mrow> <mo>-</mo> <mn>3</mn> </mrow> <mo>⁢</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> <mo>+</mo> <mrow> <mn>5</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>-</mo> <mn>7</mn> </mrow> </mrow> </math>
✓ | ⠎⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠑⠭ | <math> <mrow> <mrow> <mi>s</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mn>5</mn> <mo>⁢</mo> <mi>x</mi> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>s</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mn>5</mn> <mo>⁢</mo> <mi>x</mi> </mrow> </mrow> </math>
✓ | ⠰⠍⠀⠐⠶⠀⠼⠑⠂⠀ | <math> <mrow> <mrow> <mi>m</mi> <mo>=</mo> <mn>5</mn> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>m</mi> <mo>=</mo> <mn>5</mn> </mrow> <mo>,</mo> </mrow> </math>
✓ | ⠰⠉⠂⠀ | <math> <mrow> <mi>c</mi> <mo>,</mo> </mrow> </math> | <math> <mrow> <mi>c</mi> <mo>,</mo> </mrow> </math>
✓ | ⠰⠺ | <math> <mi>w</mi> </math> | <math> <mi>w</mi> </math>
