# Configuration:
#   Braille Code: ueb
#   Generate Braille: False
#   Model: gemini-2.5-pro 
#   API Key: GEMINI_API_KEY
#   Batch Size: 40
#   Number of Examples: 940
#   Example Braille File: RustTestData/UEB.brls
#   Example MathML File: RustTestData/UEB.mmls
#   Input Braille Dir: test_data/ueb.brls
#   Input MathML Dir: test_data/mathml.mmls
#
# 200 items. Usage info: prompt=551491, candidates=10304, total=674485, time=64968ms, TPS=6305.124223602485.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✓ | ⠬⠰⠷⠼⠉⠭⠨⠌⠼⠙⠾⠐⠤⠼⠁⠀⠐⠶⠀⠼⠃⠭⠐⠖⠼⠊⠌⠃ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext> </mtext><mtext> </mtext><mtext> </mtext><mstyle displaystyle="true" scriptlevel="0"><mfrac><mrow><mn>3</mn><mi>x</mi></mrow><mn>4</mn></mfrac></mstyle><mo>−</mo><mn>1</mn><mo>=</mo><mn>2</mn><mi>x</mi><mo>+</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>9</mn><mn>2</mn></mfrac></mstyle></math> | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext> </mtext><mtext> </mtext><mstyle displaystyle="true" scriptlevel="0"><mfrac><mrow><mn>3</mn><mi>x</mi></mrow><mn>4</mn></mfrac></mstyle><mo>−</mo><mn>1</mn><mo>=</mo><mn>2</mn><mi>x</mi><mo>+</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mn>9</mn><mn>2</mn></mfrac></mstyle></math>
✓ | ⠋⠐⠣⠭⠐⠜⠀⠐⠶⠀⠼⠃⠭⠔⠼⠃⠐⠖⠭⠐⠤⠼⠁ | <math><mrow><mi>f</mi><mrow><mo>(</mo><mi>x</mi><mo>)</mo></mrow><mo>=</mo><mn>2</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mi>x</mi><mo>−</mo><mn>1</mn></mrow></math> | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mn>2</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mi>x</mi><mo>−</mo><mn>1</mn></mrow></math>
✓ | ⠰⠠⠭ | <math><mi>X</mi></math> | <math><mi>X</mi></math>
✓ | ⠠⠏⠰⠢⠍ | <math><msub><mi>P</mi><mi>m</mi></msub></math> | <math><msub><mi>P</mi><mi>m</mi></msub></math>
✓ | ⠰⠰⠰⠍⠀⠐⠶⠀⠷⠼⠃⠠⠑⠨⠌⠧⠔⠼⠃⠾⠬⠰⠄ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mi>m</mi><mo>=</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mrow><mn>2</mn><mi>E</mi></mrow><msup><mi>v</mi><mn>2</mn></msup></mfrac></mstyle><mtext> </mtext><mtext> </mtext><mtext> </mtext><mtext> </mtext></math> | <math><mrow><mi>m</mi><mo>=</mo><mfrac><mrow><mn>2</mn><mi>E</mi></mrow><msup><mi>v</mi><mn>2</mn></msup></mfrac></mrow></math>
✓ | ⠼⠁⠁⠃ | <math><mn>112</mn></math> | <math><mn>112</mn></math>
✓ | ⠋⠐⠣⠭⠐⠜⠀⠘⠔⠀⠰⠷⠼⠉⠭⠔⠼⠃⠨⠌⠭⠔⠼⠃⠾⠀⠐⠶⠀⠼⠉⠲ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>≈</mo><mfrac><mrow><mn>3</mn><msup><mi>x</mi><mn>2</mn></msup></mrow><msup><mi>x</mi><mn>2</mn></msup></mfrac><mo>=</mo><mn>3.</mn></mrow></math> | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>≈</mo><mfrac><mrow><mn>3</mn><msup><mi>x</mi><mn>2</mn></msup></mrow><msup><mi>x</mi><mn>2</mn></msup></mfrac><mo>=</mo><mn>3.</mn></mrow></math>
✓ | ⠰⠰⠩⠔⠼⠑⠐⠤⠼⠃⠙⠉⠬ | <math><mroot><mn>−243</mn><mn>5</mn></mroot></math> | <math><mroot><mn>−243</mn><mn>5</mn></mroot></math>
✓ | ⠰⠰⠰⠠⠏⠐⠣⠠⠍⠶⠐⠜⠀⠐⠶⠀⠷⠝⠥⠍⠃⠑⠗⠀⠕⠋⠀⠎⠥⠃⠚⠑⠉⠞⠎⠀⠺⠓⠕⠀⠁⠗⠑⠀⠝⠕⠞⠀⠍⠁⠇⠑⠨⠌⠞⠕⠞⠁⠇⠀⠝⠥⠍⠃⠑⠗⠀⠕⠋⠀⠎⠥⠃⠚⠑⠉⠞⠎⠾⠀⠐⠶⠀⠷⠼⠙⠙⠐⠖⠼⠙⠨⠌⠼⠙⠉⠐⠖⠼⠊⠐⠖⠼⠙⠙⠐⠖⠼⠙⠾⠀⠐⠶⠀⠼⠙⠓⠌⠁⠚⠚⠀⠐⠶⠀⠼⠲⠙⠓⠰⠄ | <math><mrow><mi>P</mi><mo stretchy="false">(</mo><msup><mi>M</mi><mo>'</mo></msup><mo stretchy="false">)</mo><mo>=</mo><mfrac><mtext>number of subjects who are not male</mtext><mtext>total number of subjects</mtext></mfrac><mo>=</mo><mfrac><mrow><mn>44</mn><mo>+</mo><mn>4</mn></mrow><mrow><mn>43</mn><mo>+</mo><mn>9</mn><mo>+</mo><mn>44</mn><mo>+</mo><mn>4</mn></mrow></mfrac><mo>=</mo><mfrac><mn>48</mn><mn>100</mn></mfrac><mo>=</mo><mn>.48</mn></mrow></math> | <math><mrow><mi>P</mi><mo stretchy="false">(</mo><msup><mi>M</mi><mo>′</mo></msup><mo stretchy="false">)</mo><mo>=</mo><mfrac><mtext>number of subjects who are not male</mtext><mtext>total number of subjects</mtext></mfrac><mo>=</mo><mfrac><mrow><mn>44</mn><mo>+</mo><mn>4</mn></mrow><mrow><mn>43</mn><mo>+</mo><mn>9</mn><mo>+</mo><mn>44</mn><mo>+</mo><mn>4</mn></mrow></mfrac><mo>=</mo><mfrac><mn>48</mn><mn>100</mn></mfrac><mo>=</mo><mn>.48</mn></mrow></math>
✓ | ⠇⠝⠐⠣⠼⠉⠐⠜⠐⠖⠇⠝⠐⠣⠼⠙⠲⠙⠭⠐⠖⠼⠋⠲⠓⠐⠜⠀⠐⠶⠀⠼⠃ | <math><mrow><mi>ln</mi><mrow><mo>(</mo><mn>3</mn><mo>)</mo></mrow><mo>+</mo><mi>ln</mi><mrow><mo>(</mo><mrow><mn>4.4</mn><mi>x</mi><mo>+</mo><mn>6.8</mn></mrow><mo>)</mo></mrow><mo>=</mo><mn>2</mn></mrow></math> | <math><mrow><mi>ln</mi><mrow><mo>(</mo><mn>3</mn><mo>)</mo></mrow><mo>+</mo><mi>ln</mi><mrow><mo>(</mo><mrow><mn>4.4</mn><mi>x</mi><mo>+</mo><mn>6.8</mn></mrow><mo>)</mo></mrow><mo>=</mo><mn>2</mn></mrow></math>
✓ | ⠰⠞⠲ | <math><mrow><mi>t</mi><mtext>.</mtext></mrow></math> | <math><mrow><mi>t</mi><mtext>.</mtext></mrow></math>
✓ | ⠼⠓⠩⠼⠁⠚⠬⠐⠦⠼⠉⠩⠼⠃⠬ | <math><mrow><mn>8</mn><msqrt><mn>10</mn></msqrt><mo>×</mo><mn>3</mn><msqrt><mn>2</mn></msqrt></mrow></math> | <math><mrow><mn>8</mn><msqrt><mn>10</mn></msqrt><mo>×</mo><mn>3</mn><msqrt><mn>2</mn></msqrt></mrow></math>
✓ | ⠰⠷⠼⠙⠽⠔⠼⠃⠐⠤⠼⠁⠨⠌⠼⠙⠐⠤⠽⠔⠼⠃⠾⠐⠲⠷⠽⠔⠼⠃⠐⠤⠼⠃⠽⠨⠌⠼⠙⠽⠐⠖⠼⠃⠾ | <math xmlns="http://www.w3.org/1998/Math/MathML"><mtext> </mtext><mstyle displaystyle="true" scriptlevel="0"><mfrac><mrow><mn>4</mn><msup><mi>y</mi><mn>2</mn></msup><mo>−</mo><mn>1</mn></mrow><mrow><mn>4</mn><mo>−</mo><msup><mi>y</mi><mn>2</mn></msup></mrow></mfrac></mstyle><mo>⋅</mo><mstyle displaystyle="true" scriptlevel="0"><mfrac><mrow><msup><mi>y</mi><mn>2</mn></msup><mo>−</mo><mn>2</mn><mi>y</mi></mrow><mrow><mn>4</mn><mi>y</mi><mo>+</mo><mn>2</mn></mrow></mfrac></mstyle></math> | <math><mrow><mfrac><mrow><mn>4</mn><msup><mi>y</mi><mn>2</mn></msup><mo>−</mo><mn>1</mn></mrow><mrow><mn>4</mn><mo>−</mo><msup><mi>y</mi><mn>2</mn></msup></mrow></mfrac><mo>⋅</mo><mfrac><mrow><msup><mi>y</mi><mn>2</mn></msup><mo>−</mo><mn>2</mn><mi>y</mi></mrow><mrow><mn>4</mn><mi>y</mi><mo>+</mo><mn>2</mn></mrow></mfrac></mrow></math>
✓ | ⠼⠙⠲⠛⠨⠴⠐⠌⠼⠃⠀⠐⠶⠀⠼⠃⠲⠉⠑⠨⠴ | <math><mrow><mn>4.7</mn><mi mathvariant="normal">%</mi><mo>÷</mo><mn>2</mn><mo>=</mo><mn>2.35</mn><mi mathvariant="normal">%</mi></mrow></math> | <math><mrow><mn>4.7</mn><mi mathvariant="normal">%</mi><mo>÷</mo><mn>2</mn><mo>=</mo><mn>2.35</mn><mi mathvariant="normal">%</mi></mrow></math>
✓ | ⠇⠕⠛⠐⠣⠼⠁⠌⠁⠚⠚⠐⠜⠀⠐⠶⠀⠐⠤⠼⠃ | <math><mrow><mi>log</mi><mrow><mo>(</mo><mfrac><mn>1</mn><mn>100</mn></mfrac><mo>)</mo></mrow><mo>=</mo><mn>−2</mn></mrow></math> | <math><mrow><mi>log</mi><mrow><mo>(</mo><mfrac><mn>1</mn><mn>100</mn></mfrac><mo>)</mo></mrow><mo>=</mo><mo>−</mo><mn>2</mn></mrow></math>

#===========

# Normalized MathML
Match | Test Input | Expected | Computed
✓ | ⠬⠰⠷⠼⠉⠭⠨⠌⠼⠙⠾⠐⠤⠼⠁⠀⠐⠶⠀⠼⠃⠭⠐⠖⠼⠊⠌⠃ | <math> <mrow> <mrow> <mfrac> <mrow> <mn>3</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mn>4</mn> </mfrac> <mo>-</mo> <mn>1</mn> </mrow> <mo>=</mo> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>+</mo> <mfrac> <mn>9</mn> <mn>2</mn> </mfrac> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mfrac> <mrow> <mn>3</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mn>4</mn> </mfrac> <mo>-</mo> <mn>1</mn> </mrow> <mo>=</mo> <mrow> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>+</mo> <mfrac> <mn>9</mn> <mn>2</mn> </mfrac> </mrow> </mrow> </math>
✗ | ⠁⠀⠐⠶⠀⠰⠰⠽⠱⠐⠤⠃⠭⠱ | <math><mrow><mi>a</mi><mo>=</mo><mover accent="true"><mi>y</mi><mo>¯</mo></mover><mo>−</mo><mi>b</mi><mover accent="true"><mi>x</mi><mo>¯</mo></mover></mrow></math> | <--bad MathML--><math><mi>a</mi><mo>=</mo><mover><mi>y</mi><mo>&bar;</mo></mover><mo>-</mo><mi>b</mi><mover><mi>x</mi><mo>&bar;</mo></mover></math>
✓ | ⠰⠉ | <math> <mi>c</mi> </math> | <math> <mi>c</mi> </math>
✓ | ⠼⠁⠚⠚ | <math> <mn>100</mn> </math> | <math> <mn>100</mn> </math>
✗ | ⠰⠰⠐⠣⠑⠔⠼⠉⠂⠀⠼⠉⠐⠜⠂ | <math> <mrow> <mrow> <mrow> <msup> <mi>(e</mi> <mn>3</mn> </msup> <mo>,</mo> <mn>3</mn> </mrow> <mo>)</mo> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mo>(</mo> <mrow> <msup> <mi>e</mi> <mn>3</mn> </msup> <mo>,</mo> <mn>3</mn> </mrow> <mo>)</mo> </mrow> <mo>,</mo> </mrow> </math>
✗ | ⠼⠓⠚⠚⠨⠴ | <math> <mi>800%</mi> </math> | <math> <mrow> <mn>800</mn> <mo>%</mo> </mrow> </math>
✓ | ⠐⠣⠋⠐⠲⠛⠐⠜⠐⠣⠐⠤⠼⠁⠐⠜⠲ | <math> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>⋅</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mo>-</mo> <mn>1</mn> </mrow> <mo>)</mo> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>f</mi> <mo>⋅</mo> <mi>g</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mo>-</mo> <mn>1</mn> </mrow> <mo>)</mo> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠼⠉⠌⠁⠚⠚ | <math> <mfrac> <mn>3</mn> <mn>100</mn> </mfrac> </math> | <math> <mfrac> <mn>3</mn> <mn>100</mn> </mfrac> </math>
✓ | ⠐⠣⠭⠐⠤⠼⠉⠐⠜ | <math> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>-</mo> <mn>3</mn> </mrow> <mo>)</mo> </mrow> </math> | <math> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>-</mo> <mn>3</mn> </mrow> <mo>)</mo> </mrow> </math>
✓ | ⠼⠋⠛⠲⠁⠛⠛⠑⠀⠸⠈⠣⠀⠨⠍⠀⠸⠈⠣⠀⠼⠋⠓⠲⠓⠃⠃⠑ | <math> <mrow> <mn>67.1775</mn> <mo>≤</mo> <mi>μ</mi> <mo>≤</mo> <mn>68.8225</mn> </mrow> </math> | <math> <mrow> <mn>67.1775</mn> <mo>≤</mo> <mi>μ</mi> <mo>≤</mo> <mn>68.8225</mn> </mrow> </math>
✓ | ⠉⠕⠎⠐⠣⠞⠐⠜⠀⠐⠶⠀⠼⠚⠂ | <math> <mrow> <mrow> <mrow> <mi>cos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>0</mn> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>cos</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>0</mn> </mrow> <mo>,</mo> </mrow> </math>
✓ | ⠰⠗⠀⠘⠔⠀⠼⠚ | <math> <mrow> <mi>r</mi> <mo>≈</mo> <mn>0</mn> </mrow> </math> | <math> <mrow> <mi>r</mi> <mo>≈</mo> <mn>0</mn> </mrow> </math>
✓ | ⠏⠰⠐⠱ | <math> <mover> <mi>p</mi> <mo>^</mo> </mover> </math> | <math> <mover> <mi>p</mi> <mo>^</mo> </mover> </math>
✓ | ⠐⠤⠼⠁⠃⠑ | <math> <mrow> <mo>-</mo> <mn>125</mn> </mrow> </math> | <math> <mrow> <mo>-</mo> <mn>125</mn> </mrow> </math>
✓ | ⠰⠠⠞⠂ | <math> <mrow> <mi>T</mi> <mo>,</mo> </mrow> </math> | <math> <mrow> <mi>T</mi> <mo>,</mo> </mrow> </math>
✓ | ⠰⠞⠀⠐⠶⠀⠼⠉⠂ | <math> <mrow> <mrow> <mi>t</mi> <mo>=</mo> <mn>3</mn> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>t</mi> <mo>=</mo> <mn>3</mn> </mrow> <mo>,</mo> </mrow> </math>
✓ | ⠠⠁⠐⠣⠭⠐⠜⠀⠐⠶⠀⠸⠳⠭⠸⠳⠲ | <math> <mrow> <mrow> <mrow> <mi>A</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mo>|</mo> <mi>x</mi> <mo>|</mo> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>A</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mo>|</mo> <mi>x</mi> <mo>|</mo> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠰⠰⠞⠔⠣⠐⠤⠼⠉⠸⠌⠼⠃⠜ | <math> <msup> <mi>t</mi> <mrow> <mrow> <mo>-</mo> <mn>3</mn> </mrow> <mo>/</mo> <mn>2</mn> </mrow> </msup> </math> | <math> <msup> <mi>t</mi> <mrow> <mrow> <mo>-</mo> <mn>3</mn> </mrow> <mo>/</mo> <mn>2</mn> </mrow> </msup> </math>
✓ | ⠼⠙⠔⠼⠑⠐⠖⠼⠉⠔⠼⠃ | <math> <mrow> <msup> <mn>4</mn> <mn>5</mn> </msup> <mo>+</mo> <msup> <mn>3</mn> <mn>2</mn> </msup> </mrow> </math> | <math> <mrow> <msup> <mn>4</mn> <mn>5</mn> </msup> <mo>+</mo> <msup> <mn>3</mn> <mn>2</mn> </msup> </mrow> </math>
✓ | ⠞⠁⠝⠐⠣⠄⠸⠡⠭⠼⠚⠚⠚⠉⠰⠙⠼⠑⠄⠐⠜ | <math> <mrow> <mi>tan</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>ϕ</mi> <mo>)</mo> </mrow> </mrow> </math> | <math> <mrow> <mi>tan</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>ϕ</mi> <mo>)</mo> </mrow> </mrow> </math>
✗ | ⠠⠠⠑⠃⠍⠀⠐⠶⠀⠰⠰⠞⠢⠷⠨⠁⠨⠌⠼⠃⠾⠐⠣⠷⠎⠨⠌⠩⠝⠬⠾⠐⠜⠀⠐⠶⠀⠐⠣⠼⠃⠲⠚⠊⠉⠐⠜⠐⠣⠷⠼⠚⠲⠉⠨⠌⠩⠼⠃⠚⠬⠾⠐⠜⠀⠐⠶⠀⠼⠚⠲⠁⠙⠚ | <math> <mrow> <mrow> <mi>E</mi> <mo>⁣</mo> <mi>B</mi> <mo>⁣</mo> <mi>M</mi> </mrow> <mo>=</mo> <mrow> <msub> <mi>t</mi> <mfrac> <mi>α</mi> <mn>2</mn> </mfrac> </msub> <mo>⁡</mo> <mrow> <mo>(</mo> <mfrac> <mi>s</mi> <msqrt> <mi>n</mi> </msqrt> </mfrac> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mo>(</mo> <mn>2.093</mn> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mfrac> <mn>0.3</mn> <msqrt> <mn>20</mn> </msqrt> </mfrac> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>0.140</mn> </mrow> </math> | <math> <mrow> <mi>EBM</mi> <mo>=</mo> <mrow> <msub> <mi>t</mi> <mfrac> <mi>α</mi> <mn>2</mn> </mfrac> </msub> <mo>⁡</mo> <mrow> <mo>(</mo> <mfrac> <mi>s</mi> <msqrt> <mi>n</mi> </msqrt> </mfrac> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mo>(</mo> <mn>2.093</mn> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mfrac> <mn>0.3</mn> <msqrt> <mn>20</mn> </msqrt> </mfrac> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mn>0.140</mn> </mrow> </math>
✓ | ⠠⠞⠁⠭ | <math> <mi>Tax</mi> </math> | <math> <mi>Tax</mi> </math>
✓ | ⠐⠣⠐⠤⠼⠃⠂⠀⠼⠑⠐⠜ | <math> <mrow> <mo>(</mo> <mrow> <mrow> <mo>-</mo> <mn>2</mn> </mrow> <mo>,</mo> <mn>5</mn> </mrow> <mo>)</mo> </mrow> </math> | <math> <mrow> <mo>(</mo> <mrow> <mrow> <mo>-</mo> <mn>2</mn> </mrow> <mo>,</mo> <mn>5</mn> </mrow> <mo>)</mo> </mrow> </math>
✓ | ⠼⠉⠛⠲⠊ | <math> <mn>37.9</mn> </math> | <math> <mn>37.9</mn> </math>
✓ | ⠟⠰⠐⠱ | <math> <mover> <mi>q</mi> <mo>^</mo> </mover> </math> | <math> <mover> <mi>q</mi> <mo>^</mo> </mover> </math>
✓ | ⠼⠁⠌⠃ | <math> <mfrac> <mn>1</mn> <mn>2</mn> </mfrac> </math> | <math> <mfrac> <mn>1</mn> <mn>2</mn> </mfrac> </math>
✓ | ⠼⠁⠃⠌⠁⠊ | <math> <mfrac> <mn>12</mn> <mn>19</mn> </mfrac> </math> | <math> <mfrac> <mn>12</mn> <mn>19</mn> </mfrac> </math>
✓ | ⠰⠃ | <math> <mi>b</mi> </math> | <math> <mi>b</mi> </math>
✓ | ⠼⠉⠃ | <math> <mn>32</mn> </math> | <math> <mn>32</mn> </math>
✓ | ⠵⠰⠔⠼⠁⠌⠓⠐⠲⠵⠔⠼⠛⠌⠓ | <math> <mrow> <msup> <mi>z</mi> <mfrac> <mn>1</mn> <mn>8</mn> </mfrac> </msup> <mo>·</mo> <msup> <mi>z</mi> <mfrac> <mn>7</mn> <mn>8</mn> </mfrac> </msup> </mrow> </math> | <math> <mrow> <msup> <mi>z</mi> <mfrac> <mn>1</mn> <mn>8</mn> </mfrac> </msup> <mo>·</mo> <msup> <mi>z</mi> <mfrac> <mn>7</mn> <mn>8</mn> </mfrac> </msup> </mrow> </math>
✓ | ⠝⠰⠢⠼⠁⠐⠖⠝⠢⠼⠃⠐⠤⠼⠃ | <math> <mrow> <msub> <mi>n</mi> <mn>1</mn> </msub> <mo>+</mo> <msub> <mi>n</mi> <mn>2</mn> </msub> <mo>-</mo> <mn>2</mn> </mrow> </math> | <math> <mrow> <msub> <mi>n</mi> <mn>1</mn> </msub> <mo>+</mo> <msub> <mi>n</mi> <mn>2</mn> </msub> <mo>-</mo> <mn>2</mn> </mrow> </math>
✓ | ⠼⠙⠑⠨⠴ | <math> <mrow> <mn>45</mn> <mo>%</mo> </mrow> </math> | <math> <mrow> <mn>45</mn> <mo>%</mo> </mrow> </math>
✗ | ⠰⠰⠰⠷⠠⠏⠁⠗⠞⠽⠀⠠⠁⠀⠠⠎⠥⠗⠏⠇⠥⠎⠀⠠⠧⠕⠞⠑⠎⠀⠐⠤⠀⠠⠏⠁⠗⠞⠽⠀⠠⠃⠀⠠⠎⠥⠗⠏⠇⠥⠎⠀⠠⠧⠕⠞⠑⠎⠨⠌⠠⠞⠕⠞⠁⠇⠀⠠⠧⠕⠞⠑⠎⠾⠀⠐⠶⠀⠷⠼⠊⠐⠤⠼⠋⠨⠌⠼⠉⠑⠾⠀⠐⠶⠀⠼⠉⠌⠉⠑⠀⠘⠔⠀⠼⠚⠲⠚⠓⠑⠛⠰⠄ | <math> <mrow> <mfrac> <mrow> <mi>Party A Surplus Votes </mi> <mo>-</mo> <mi> Party B Surplus Votes</mi> </mrow> <mi>Total Votes</mi> </mfrac> <mo>=</mo> <mfrac> <mrow> <mn>9</mn> <mo>-</mo> <mn>6</mn> </mrow> <mn>35</mn> </mfrac> <mo>=</mo> <mrow> <mfrac> <mn>3</mn> <mn>35</mn> </mfrac> <mo>≈</mo> <mn>0.0857</mn> </mrow> </mrow> </math> | <math> <mrow> <mfrac> <mrow> <mi>Party A Surplus Votes</mi> <mo>-</mo> <mi>Party B Surplus Votes</mi> </mrow> <mi>Total Votes</mi> </mfrac> <mo>=</mo> <mfrac> <mrow> <mn>9</mn> <mo>-</mo> <mn>6</mn> </mrow> <mn>35</mn> </mfrac> <mo>=</mo> <mrow> <mfrac> <mn>3</mn> <mn>35</mn> </mfrac> <mo>≈</mo> <mn>0.0857</mn> </mrow> </mrow> </math>
✓ | ⠰⠽⠀⠐⠶⠀⠼⠋⠌⠃ | <math> <mrow> <mi>y</mi> <mo>=</mo> <mfrac> <mn>6</mn> <mn>2</mn> </mfrac> </mrow> </math> | <math> <mrow> <mi>y</mi> <mo>=</mo> <mfrac> <mn>6</mn> <mn>2</mn> </mfrac> </mrow> </math>
✗ | ⠼⠑⠚⠌⠁⠚⠂⠚⠚⠚ | <math> <mfrac> <mi>50</mi> <mi>10,000</mi> </mfrac> </math> | <math> <mfrac> <mn>50</mn> <mn>10,000</mn> </mfrac> </math>
✓ | ⠰⠰⠰⠨⠎⠢⠣⠨⠯⠔⠼⠃⠜⠀⠐⠶⠀⠩⠼⠃⠐⠣⠙⠋⠐⠜⠬⠰⠄ | <math> <mrow> <msub> <mi>σ</mi> <msup> <mi>χ</mi> <mn>2</mn> </msup> </msub> <mo>=</mo> <msqrt> <mrow> <mn>2</mn> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>d</mi> <mo>⁢</mo> <mi>f</mi> </mrow> <mo>)</mo> </mrow> </mrow> </msqrt> </mrow> </math> | <math> <mrow> <msub> <mi>σ</mi> <msup> <mi>χ</mi> <mn>2</mn> </msup> </msub> <mo>=</mo> <msqrt> <mrow> <mn>2</mn> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>d</mi> <mo>⁢</mo> <mi>f</mi> </mrow> <mo>)</mo> </mrow> </mrow> </msqrt> </mrow> </math>
✓ | ⠨⠎⠀⠐⠶⠀⠰⠰⠩⠷⠐⠣⠃⠐⠤⠁⠐⠜⠔⠼⠃⠨⠌⠼⠁⠃⠾⠬ | <math> <mrow> <mi>σ</mi> <mo>=</mo> <msqrt> <mfrac> <msup> <mrow> <mo>(</mo> <mrow> <mi>b</mi> <mo>-</mo> <mi>a</mi> </mrow> <mo>)</mo> </mrow> <mn>2</mn> </msup> <mn>12</mn> </mfrac> </msqrt> </mrow> </math> | <math> <mrow> <mi>σ</mi> <mo>=</mo> <msqrt> <mfrac> <msup> <mrow> <mo>(</mo> <mrow> <mi>b</mi> <mo>-</mo> <mi>a</mi> </mrow> <mo>)</mo> </mrow> <mn>2</mn> </msup> <mn>12</mn> </mfrac> </msqrt> </mrow> </math>
✓ | ⠼⠉⠐⠣⠼⠑⠵⠐⠜⠔⠼⠁⠌⠙ | <math> <mrow> <mn>3</mn> <mo>⁢</mo> <msup> <mrow> <mo>(</mo> <mrow> <mn>5</mn> <mo>⁢</mo> <mi>z</mi> </mrow> <mo>)</mo> </mrow> <mfrac> <mn>1</mn> <mn>4</mn> </mfrac> </msup> </mrow> </math> | <math> <mrow> <mn>3</mn> <mo>⁢</mo> <msup> <mrow> <mo>(</mo> <mrow> <mn>5</mn> <mo>⁢</mo> <mi>z</mi> </mrow> <mo>)</mo> </mrow> <mfrac> <mn>1</mn> <mn>4</mn> </mfrac> </msup> </mrow> </math>
✓ | ⠼⠑⠙ | <math> <mn>54</mn> </math> | <math> <mn>54</mn> </math>
✓ | ⠼⠁⠸⠌⠼⠋ | <math> <mrow> <mn>1</mn> <mo>/</mo> <mn>6</mn> </mrow> </math> | <math> <mrow> <mn>1</mn> <mo>/</mo> <mn>6</mn> </mrow> </math>
✓ | ⠨⠁ | <math> <mi>α</mi> </math> | <math> <mi>α</mi> </math>
